	Bayesian Skyline: 161101_lin6_UN_BSP.log			
Time	Mean	Median	Upper	Lower
0.0	0.0027583468580346057	0.0019744452966749984	0.00951505712324657	3.644758066191081E-4
2.3289452975411687E-6	0.0031972220043658176	0.0027644466769563003	0.008524276561898886	6.834747310956365E-4
4.657890595082337E-6	0.0037510990437308244	0.0032842227000926057	0.009199206321056657	0.001017368097238399
6.986835892623506E-6	0.004140458505534753	0.0035706047635807306	0.009910099411154122	0.0016970972936756956
9.315781190164675E-6	0.004168591244875961	0.0035915857050776647	0.009914881454589967	0.0017570309008791726
1.1644726487705843E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
1.3973671785247012E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
1.6302617082788182E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
1.863156238032935E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
2.0960507677870516E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
2.3289452975411683E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
2.561839827295285E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
2.7947343570494017E-5	0.004168813395287025	0.0035915857050776647	0.009914881454589967	0.001758473023725804
3.0276288868035184E-5	0.004169682205047113	0.0035911943177406305	0.009921141448730835	0.0017570309008791726
3.260523416557635E-5	0.004167259399092003	0.003589513267260781	0.009921141448730835	0.001755219155374655
3.493417946311752E-5	0.004141943388443367	0.003571571060842886	0.009900959260892114	0.00172861037872885
3.7263124760658685E-5	0.0040787118154928395	0.00352531025094332	0.009751301059171028	0.0016615076631777265
3.959207005819985E-5	0.003947666501235795	0.0034330257578535205	0.009553644185382125	0.0015339613960494733
4.192101535574102E-5	0.0038238906749111586	0.0033366361731934913	0.009238699707296964	0.0014402699836562718
4.4249960653282186E-5	0.0037237974186198545	0.0032412501324747276	0.009087999028694636	0.0013674537319742954
4.657890595082335E-5	0.003612837501087009	0.003152327912784976	0.008704787713718232	0.0013008400635707287
4.890785124836452E-5	0.0034493446807142823	0.0030287470472464256	0.008159409244696759	0.0012112458608491644
5.123679654590569E-5	0.003278480002614159	0.002886109562543501	0.007824526207882066	0.001105235102037172
5.3565741843446854E-5	0.003126407234607881	0.0027542241270769956	0.007458624434094504	0.0010447616000417567
5.589468714098802E-5	0.0030132552660663936	0.002659812054754261	0.007131539407016379	9.980287677482996E-4
5.822363243852919E-5	0.0029485242249455506	0.0025996014149216144	0.007047532397751217	9.863111646294664E-4
6.0552577736070355E-5	0.002883954987026769	0.002542513355424865	0.00696072794324937	9.675329815273973E-4
6.288152303361152E-5	0.0028297430680713246	0.002484977940090055	0.006894797161480024	9.484486946565372E-4
6.521046833115269E-5	0.002762931887499202	0.002418510095463843	0.006753364279128925	9.138159487179064E-4
6.753941362869386E-5	0.0027055385318473743	0.00236860922361231	0.006558082869675463	8.718028884995881E-4
6.986835892623502E-5	0.002617593804897476	0.002278528106256983	0.006370223382630851	7.955750458717786E-4
7.219730422377619E-5	0.00243396567235122	0.0020938128347923746	0.006187105567038448	6.529478463995486E-4
7.452624952131736E-5	0.0021775344744992984	0.0018719032625549841	0.005694831839506042	5.34640791251542E-4
7.685519481885852E-5	0.0020106004132209036	0.001720027794061943	0.005304343000687286	4.835743235549071E-4
7.918414011639969E-5	0.0019173522074239886	0.0016321107788879645	0.00504817394467162	4.435895835070582E-4
8.151308541394086E-5	0.0018223355276577318	0.0015511079373052967	0.004944860490319738	2.3555112342461772E-4
8.384203071148202E-5	0.0014194154608540735	0.0011437623946249917	0.004584466202201385	5.8811343979421244E-5
8.617097600902319E-5	6.72352423139551E-4	2.061886420848608E-4	0.0034633786848782787	3.5979025784601405E-5
8.849992130656436E-5	2.6634486712269196E-4	1.7723496207036908E-4	0.0013841991733859057	3.7738962186853146E-5
9.082886660410553E-5	2.3506232217046207E-4	2.0791786547431755E-4	5.459238368192226E-4	6.672950974572632E-5
9.315781190164669E-5	2.4764069397354533E-4	2.1872975322179957E-4	5.634597699083446E-4	1.0497133483232834E-4
9.548675719918786E-5	2.5023288000126747E-4	2.2065668459039445E-4	5.689299755846847E-4	1.0848702721601882E-4
9.781570249672903E-5	2.506357248177358E-4	2.2097318267728556E-4	5.681195208655674E-4	1.0922339044548715E-4
1.0014464779427019E-4	2.4955011277266097E-4	2.202174421166977E-4	5.646051405450445E-4	1.087699123865967E-4
1.0247359309181136E-4	2.4551423827133133E-4	2.175990488990463E-4	5.491025982859707E-4	1.045723666282837E-4
1.0480253838935253E-4	2.3686152364008544E-4	2.0929197585734934E-4	5.316336983280384E-4	9.533189832573872E-5
1.071314836868937E-4	2.254464727844218E-4	2.0074106373945045E-4	5.062642778571938E-4	8.589304587003203E-5
1.0946042898443486E-4	2.160352981277914E-4	1.9268579917078868E-4	4.906638847608966E-4	8.161748941522494E-5
1.1178937428197603E-4	2.1246815866379575E-4	1.889924037809999E-4	4.845979211906802E-4	8.15970551930959E-5
1.141183195795172E-4	2.0998590289688488E-4	1.8658304480739332E-4	4.8040247561670883E-4	8.165469332810955E-5
1.1644726487705836E-4	2.0714491642607335E-4	1.8328853661596145E-4	4.858061164661044E-4	8.17972768655144E-5
1.1877621017459953E-4	2.0550886565910887E-4	1.8159396672651028E-4	4.876783355472717E-4	8.161748941522494E-5
1.211051554721407E-4	2.0392193022784967E-4	1.802052750963427E-4	4.8427379558850357E-4	8.08822017816481E-5
1.2343410076968186E-4	2.03441357334209E-4	1.7980722659271847E-4	4.8427379558850357E-4	8.068285371600936E-5
1.2576304606722304E-4	2.0335237462869993E-4	1.796553766060598E-4	4.855633149267554E-4	8.056550551977521E-5
1.2809199136476422E-4	2.029043635062286E-4	1.7932054846652554E-4	4.827374953951383E-4	7.957013717119859E-5
1.304209366623054E-4	2.0193194582680634E-4	1.7837301279591684E-4	4.8040247561670883E-4	7.761460718151364E-5
1.3274988195984658E-4	1.9848640053413117E-4	1.7548323850320637E-4	4.720699452193238E-4	7.3046126486964E-5
1.3507882725738777E-4	1.9107085867349068E-4	1.6925067598482215E-4	4.602534174383348E-4	6.456891945147578E-5
1.3740777255492895E-4	1.782092048612352E-4	1.5814733809863029E-4	4.3369009083879284E-4	5.484291684770457E-5
1.3973671785247013E-4	1.6585597616859901E-4	1.46639813032393E-4	3.9597056619170034E-4	4.924125092132156E-5
1.420656631500113E-4	1.5661680634919227E-4	1.3802676383388934E-4	3.76115139586092E-4	4.791995785061075E-5
1.443946084475525E-4	1.514452043436342E-4	1.3358983986581043E-4	3.636337268870796E-4	4.745752020860574E-5
1.4672355374509367E-4	1.4890373061338547E-4	1.3097401136731744E-4	3.580477526076178E-4	4.7489518566236933E-5
1.4905249904263485E-4	1.480907006356378E-4	1.3006727898681172E-4	3.559222270889832E-4	4.788531886425741E-5
1.5138144434017603E-4	1.4770261216453945E-4	1.2956076820376525E-4	3.599062808333958E-4	4.78402812054382E-5
1.537103896377172E-4	1.4757251680407854E-4	1.2930816674349934E-4	3.608871163333757E-4	4.752323738819167E-5
1.560393349352584E-4	1.4740631400964396E-4	1.2904619853152134E-4	3.599672275946502E-4	4.7489518566236933E-5
1.5836828023279957E-4	1.4729224352920024E-4	1.289092168880141E-4	3.599672275946502E-4	4.7489518566236933E-5
1.6069722553034075E-4	1.4729224352920024E-4	1.289092168880141E-4	3.599672275946502E-4	4.7489518566236933E-5
1.6302617082788193E-4	1.4727856642930194E-4	1.289708703959749E-4	3.599672275946502E-4	4.7489518566236933E-5
1.653551161254231E-4	1.4726145052973845E-4	1.289092168880141E-4	3.599672275946502E-4	4.745752020860574E-5
1.676840614229643E-4	1.4715966608977668E-4	1.2887176521979334E-4	3.599062808333958E-4	4.719834433913576E-5
1.7001300672050547E-4	1.4688950457903953E-4	1.2863938819741865E-4	3.580477526076178E-4	4.706354480327686E-5
1.7234195201804665E-4	1.4622458665340194E-4	1.2794035012150115E-4	3.5560855363499076E-4	4.646207009317873E-5
1.7467089731558783E-4	1.447108215040174E-4	1.2651265178410034E-4	3.53826105406922E-4	4.358453166155615E-5
1.7699984261312901E-4	1.4242625859203038E-4	1.2441060516739765E-4	3.544239497223099E-4	4.047618261983795E-5
1.793287879106702E-4	1.392717969011975E-4	1.2067847367026917E-4	3.5194496952163905E-4	3.7240662968441995E-5
1.8165773320821138E-4	1.3585971346226415E-4	1.165236672014995E-4	3.5184447944856795E-4	3.485426027442931E-5
1.8398667850575256E-4	1.3226484381326494E-4	1.1291882815446427E-4	3.44002053443401E-4	3.233104841862955E-5
1.8631562380329374E-4	1.2952676452472172E-4	1.0998828193469582E-4	3.386247353041505E-4	3.0562930506542196E-5
1.8864456910083492E-4	1.2776807929242823E-4	1.0818651611922087E-4	3.348636217175557E-4	2.9699535912453186E-5
1.909735143983761E-4	1.26486905617317E-4	1.0729691774489712E-4	3.3435239442543567E-4	2.8343386861338313E-5
1.9330245969591728E-4	1.2548875225013573E-4	1.059637268209733E-4	3.3820583294117356E-4	2.745784586539158E-5
1.9563140499345846E-4	1.240111783788749E-4	1.039960459723953E-4	3.386247353041505E-4	2.627896291653622E-5
1.9796035029099964E-4	1.2233778005698692E-4	1.0216838305302512E-4	3.42108843414407E-4	2.4815159941615537E-5
2.0028929558854082E-4	1.2091818404726191E-4	1.0061402321717899E-4	3.41858925232635E-4	2.3640100546163637E-5
2.02618240886082E-4	1.1937457773941009E-4	9.862745055620473E-5	3.442121533341511E-4	2.309741351575555E-5
2.0494718618362318E-4	1.184240013047041E-4	9.718736043394058E-5	3.4782676276921116E-4	2.2299212225935357E-5
2.0727613148116436E-4	1.1788548206272198E-4	9.64297923485087E-5	3.4826368006490665E-4	2.1767473062020065E-5
2.0960507677870554E-4	1.1759823872337484E-4	9.59960184790535E-5	3.483552703228547E-4	2.1635195432426588E-5
2.1193402207624672E-4	1.1740623214721281E-4	9.577921783780379E-5	3.483552703228547E-4	2.1609424135716937E-5
2.142629673737879E-4	1.1730972387655563E-4	9.559091485664814E-5	3.4826368006490665E-4	2.1609424135716937E-5
2.1659191267132908E-4	1.1730437258778722E-4	9.557254257736787E-5	3.4826368006490665E-4	2.1609424135716937E-5
2.1892085796887026E-4	1.1728361900297004E-4	9.556598070185734E-5	3.4826368006490665E-4	2.1609424135716937E-5
2.2124980326641144E-4	1.1728361900297004E-4	9.556598070185734E-5	3.4826368006490665E-4	2.1609424135716937E-5
2.2357874856395262E-4	1.172827209236629E-4	9.554070344944162E-5	3.483552703228547E-4	2.1589608081343047E-5
