	Bayesian Skyline: 161104_lin7_UN_BSP.log			
Time	Mean	Median	Upper	Lower
0.0	2.2190957078104808E-4	1.5518734636756125E-4	7.773318505238932E-4	2.7315141406755397E-5
2.183114739482989E-6	3.7820245678580364E-4	3.2150252277240375E-4	9.648582131680792E-4	1.2413484032886934E-4
4.366229478965978E-6	5.07838149558061E-4	4.1759671300900357E-4	0.0013259164353753344	1.6240487694637432E-4
6.549344218448967E-6	7.518497218039523E-4	6.737425038742842E-4	0.0018120822851597528	2.1255454765848074E-4
8.732458957931956E-6	9.588348706875062E-4	8.719190002855164E-4	0.0021399738434436312	3.0877051751965846E-4
1.0915573697414945E-5	0.0010400943118200352	9.355781709456522E-4	0.0022454227101423425	4.431304568723235E-4
1.3098688436897935E-5	0.0010616713187342277	9.528565119119199E-4	0.0022850507527485335	4.826175261944039E-4
1.5281803176380925E-5	0.0010649269543838008	9.554901721944352E-4	0.002287746530174656	4.882629843433701E-4
1.7464917915863914E-5	0.0010655751848998422	9.558820572053745E-4	0.0022889132012505484	4.892202167415843E-4
1.9648032655346904E-5	0.001066279401328041	9.562933713024531E-4	0.00229047121301733	4.90804577515819E-4
2.1831147394829894E-5	0.0010675328008871215	9.573140863363662E-4	0.0022934443361014617	4.918046435737223E-4
2.4014262134312884E-5	0.0010695784695011507	9.585521151453754E-4	0.0023016439625791144	4.93445124516138E-4
2.6197376873795873E-5	0.0010692656706030544	9.579602802175952E-4	0.002308833188045425	4.931067968455214E-4
2.8380491613278863E-5	0.0010650388885699899	9.536256169071247E-4	0.0023046309887860047	4.8689656692989404E-4
3.056360635276185E-5	0.0010537451474541633	9.447610725255463E-4	0.0022856892990145944	4.738208776682851E-4
3.2746721092244836E-5	0.0010387088559438463	9.318298248861481E-4	0.002258481684868695	4.571406001801634E-4
3.492983583172782E-5	0.0010211367104574253	9.175681294748495E-4	0.0022169350289776655	4.4014745566454543E-4
3.711295057121081E-5	0.0010064150143534894	9.040129813944204E-4	0.002194131916284221	4.24825590332448E-4
3.9296065310693795E-5	9.907989303670007E-4	8.905095083000895E-4	0.00217271993441561	4.146677120172129E-4
4.147918005017678E-5	9.77844146990309E-4	8.795282179148353E-4	0.0021483911719247222	4.0623721698736356E-4
4.366229478965977E-5	9.660194186167343E-4	8.700861986198215E-4	0.0021236244287355403	3.96349386744039E-4
4.5845409529142754E-5	9.559832033434351E-4	8.613770683662274E-4	0.002102258392909126	3.877385007115594E-4
4.802852426862574E-5	9.426369150893782E-4	8.487667781941551E-4	0.002078595060113705	3.720787355786196E-4
5.0211639008108727E-5	9.270064203873868E-4	8.331217179937922E-4	0.0020713250877215767	3.5636579014020406E-4
5.239475374759171E-5	9.076842914850677E-4	8.15897153436683E-4	0.002039223798687053	3.423416100828178E-4
5.45778684870747E-5	8.89990242577337E-4	7.975959367513269E-4	0.0020241550097907946	3.3201159426713415E-4
5.6760983226557686E-5	8.753191266091215E-4	7.822190531735471E-4	0.002001571799219735	3.25410272923328E-4
5.894409796604067E-5	8.680229437676146E-4	7.746127196072206E-4	0.00200435646441443	3.2181897057887294E-4
6.112721270552366E-5	8.61980372064907E-4	7.676438155055052E-4	0.0020063242676215407	3.1841836836188055E-4
6.331032744500664E-5	8.570422184404316E-4	7.619391496073165E-4	0.0020041423825564466	3.1440529236211306E-4
6.549344218448963E-5	8.517236563526857E-4	7.565423703446795E-4	0.001999921196940115	3.099074428954001E-4
6.767655692397262E-5	8.445746988846209E-4	7.492764112125369E-4	0.0019911935167766254	3.026260926625839E-4
6.98596716634556E-5	8.357235915161117E-4	7.413508841976831E-4	0.0019816110689396854	2.942167534246382E-4
7.204278640293859E-5	8.241459256070191E-4	7.306465062290675E-4	0.001965873935121945	2.7913704116029354E-4
7.422590114242158E-5	8.06169505663226E-4	7.1503084207074E-4	0.001942748182032873	2.507045852559096E-4
7.640901588190456E-5	7.760136456339478E-4	6.862951541839784E-4	0.0019033508939440974	2.122436449321478E-4
7.859213062138755E-5	7.31520097262259E-4	6.439165804524039E-4	0.00183833903214391	1.741777186810116E-4
8.077524536087054E-5	6.731827512615091E-4	5.836921627179329E-4	0.00175124959136894	1.4760844972449178E-4
8.295836010035352E-5	6.046087215753877E-4	5.141347804501358E-4	0.001620601081680294	1.3044490545601758E-4
8.514147483983651E-5	5.437971396543073E-4	4.549987623183915E-4	0.001484507391760502	1.2171194836346105E-4
8.73245895793195E-5	4.962808497380618E-4	4.1806168596488495E-4	0.0013356871684140933	1.187581516437728E-4
8.950770431880248E-5	4.65555963794729E-4	4.0016253028558576E-4	0.0011988325383491202	1.1915545084525717E-4
9.169081905828547E-5	4.515214238778083E-4	3.9316685792119017E-4	0.0011311474588710376	1.2198953097632304E-4
9.387393379776845E-5	4.5083137331175657E-4	3.9644948633323616E-4	0.00110003999303552	1.2652207038260847E-4
9.605704853725144E-5	4.59045962889855E-4	4.045434959388354E-4	0.0011079562830232025	1.3236718872372704E-4
9.824016327673443E-5	4.7057845379024353E-4	4.142418120858099E-4	0.0011387972069468915	1.379984970688038E-4
1.0042327801621741E-4	4.8545653935566467E-4	4.2594545620358424E-4	0.0011779153651581189	1.460338187749183E-4
1.026063927557004E-4	5.015625989880419E-4	4.392015535863015E-4	0.0012125094931722282	1.5384113274649288E-4
1.0478950749518339E-4	5.194876289396289E-4	4.5358653775530444E-4	0.0012580445884514898	1.6342849341382244E-4
1.0697262223466637E-4	5.388615978070775E-4	4.684172992218993E-4	0.001314564998747304	1.7551470388038677E-4
1.0915573697414936E-4	5.570705197411468E-4	4.831660776713315E-4	0.001358498959460259	1.8932566573958172E-4
1.1133885171363234E-4	5.734991172589078E-4	4.959739940856937E-4	0.0014090978167640071	2.0457733906511724E-4
1.1352196645311533E-4	5.861729588903196E-4	5.061573145546727E-4	0.001431047304819917	2.1657544381243092E-4
1.1570508119259832E-4	5.952781347536755E-4	5.13258566160394E-4	0.0014516244678948254	2.25327282165335E-4
1.178881959320813E-4	6.006356258069765E-4	5.16957073083244E-4	0.0014623764182830892	2.301745608442465E-4
1.2007131067156429E-4	6.034536799505527E-4	5.189211992309237E-4	0.001474733726067147	2.3225473567489404E-4
1.222544254110473E-4	6.047978528304739E-4	5.200820345566977E-4	0.0014769651457752226	2.3345529548394946E-4
1.244375401505303E-4	6.054159614619061E-4	5.205942580073715E-4	0.0014788677554734933	2.33906808660854E-4
1.266206548900133E-4	6.05700565855644E-4	5.207512152364677E-4	0.0014788677554734933	2.3403813187931538E-4
1.288037696294963E-4	6.057933998666004E-4	5.207682667236382E-4	0.0014796168761538988	2.3408905173369864E-4
1.309868843689793E-4	6.058269035252249E-4	5.207682667236382E-4	0.0014804589638917477	2.3408905173369864E-4
1.331699991084623E-4	6.058281313791552E-4	5.207682667236382E-4	0.0014804589638917477	2.3408905173369864E-4
