	Bayesian Skyline: 161111_lin2_UN_BSP.log			
Time	Mean	Median	Upper	Lower
0.0	0.0023828069115460248	0.002215183531961669	0.0045333501686755946	0.0010332848360192993
2.2104016495039113E-6	0.002404974328781205	0.002336494989145933	0.0037441840527063686	0.001475316904601374
4.420803299007823E-6	0.002910856820431687	0.002624249025431891	0.006134200339453094	0.0015885372959540762
6.631204948511734E-6	0.0038757487298669577	0.0032615829885605982	0.008935343594610056	0.00194231351017983
8.841606598015645E-6	0.003276308982621503	0.002847848236255206	0.008402671346258828	8.081168294825287E-4
1.1052008247519557E-5	0.0011145249847574785	0.0010132594096489045	0.0024581785556218147	4.927968181670443E-4
1.3262409897023468E-5	0.0020325388409638415	0.0017467636211171075	0.00447823595854346	7.475630597845103E-4
1.5472811546527378E-5	0.0032256027520684936	0.0030818389908302117	0.005575378591455392	0.0015905768043211164
1.768321319603129E-5	0.0033202747330309383	0.003149045213233769	0.005688373878739954	0.0019232524606088216
1.9893614845535204E-5	0.00331637196219055	0.0031476386394849783	0.005627601107590687	0.0019498613588447228
2.2104016495039117E-5	0.003290240879226632	0.003123624126030777	0.005582170498848485	0.0019341073513537905
2.431441814454303E-5	0.0033053045056477487	0.0031141790486804493	0.0057819589198572115	0.0019035199910012082
2.6524819794046943E-5	0.0033135798233292183	0.0030973711111936973	0.005984991055577001	0.0018611390872057677
2.8735221443550856E-5	0.0032440884917861947	0.003034415000174009	0.005969067214540055	0.0017063984328730814
3.094562309305477E-5	0.0028378841733616785	0.0026685356043182635	0.005501393493570859	0.0011799537572979766
3.315602474255868E-5	0.002111596033117615	0.0019777016239815536	0.004156427016386459	8.840282414195879E-4
3.5366426392062595E-5	0.0018842589145978657	0.0017697960701073042	0.0033881351213446635	8.880430050858849E-4
3.757682804156651E-5	0.0018592713015823847	0.001743423495911691	0.003340325122792279	9.085474430572981E-4
3.978722969107042E-5	0.0019470303678496236	0.0017932269327107333	0.003789291633255314	9.597240363950914E-4
4.1997631340574334E-5	0.0019872153809400647	0.0018135104045475506	0.004053414705141745	9.669568758639489E-4
4.420803299007825E-5	0.0019603556331276614	0.0017904569853885164	0.004086137497262936	8.230039358214102E-4
4.641843463958216E-5	0.0015609175201962506	0.001455441108754374	0.0036683096861169066	4.307430131679857E-4
4.862883628908607E-5	8.73058687688355E-4	6.076742544048679E-4	0.0024009843312821095	3.558906830493007E-4
5.0839237938589986E-5	6.017389296533348E-4	5.212979661957808E-4	0.0015298422129408702	3.21445018974338E-4
5.30496395880939E-5	5.310465170013927E-4	5.035575127234736E-4	9.238167576894874E-4	3.279838802969506E-4
5.526004123759781E-5	5.227143440054336E-4	5.007524584596744E-4	8.490329752445246E-4	3.3292266597056524E-4
5.7470442887101725E-5	5.122669676581882E-4	4.953078506415643E-4	8.018378725612428E-4	3.251466007415907E-4
5.968084453660564E-5	5.059425959623998E-4	4.920969312079012E-4	7.737542435932799E-4	3.1903934392797206E-4
6.189124618610955E-5	5.073937230630904E-4	4.927174923734984E-4	7.792486183284771E-4	3.221109543869405E-4
6.410164783561346E-5	5.087486895316178E-4	4.931972858399868E-4	7.880033730610509E-4	3.225493893139856E-4
6.631204948511736E-5	5.103123706884304E-4	4.935411104329346E-4	8.009588478088919E-4	3.204925549215389E-4
6.852245113462127E-5	5.130954986740045E-4	4.940788042611316E-4	8.222360468878827E-4	3.174877775300071E-4
7.073285278412518E-5	5.166662840337438E-4	4.949472316115108E-4	8.495648928416221E-4	3.1435236908457367E-4
7.294325443362908E-5	5.185371204933077E-4	4.95056429325719E-4	8.676787931183698E-4	3.113044611325704E-4
7.515365608313299E-5	5.189076785860026E-4	4.948968956463282E-4	8.84171759714989E-4	3.0292330366866744E-4
7.73640577326369E-5	5.082305862860739E-4	4.909731908767023E-4	8.883417167753308E-4	1.4953664428701122E-4
7.95744593821408E-5	4.2738403314637063E-4	4.572011197289285E-4	8.492925729063928E-4	6.409347414419108E-5
8.178486103164471E-5	2.353718573244566E-4	1.0366722104895835E-4	7.208734366486261E-4	4.9944883571322805E-5
8.399526268114861E-5	1.095138638136419E-4	8.136579259821467E-5	5.001803574644696E-4	4.6418665407152537E-5
8.620566433065252E-5	8.558128243581751E-5	7.883342719638822E-5	1.5648753255613387E-4	4.647356377117547E-5
8.841606598015643E-5	8.30716404839341E-5	7.838634966807346E-5	1.4580035724160803E-4	4.674051605320681E-5
9.062646762966033E-5	8.262459311699332E-5	7.823009525220153E-5	1.436984302064792E-4	4.672997826888231E-5
9.283686927916424E-5	8.214173889630095E-5	7.791237899876992E-5	1.4186197386909985E-4	4.631204538008595E-5
9.504727092866814E-5	8.138344518825577E-5	7.740044813425335E-5	1.3998890424468576E-4	4.545746987136871E-5
9.725767257817205E-5	8.065079791045756E-5	7.6853475574944E-5	1.3852131945715773E-4	4.439967727104834E-5
9.946807422767596E-5	8.034017956487066E-5	7.655881421156798E-5	1.3843162113881004E-4	4.3641372417922616E-5
1.0167847587717986E-4	8.028404468891131E-5	7.646597712105577E-5	1.38802718450719E-4	4.342111423922436E-5
1.0388887752668377E-4	8.043208906559464E-5	7.650070886971345E-5	1.3982894724297974E-4	4.33768264620206E-5
1.0609927917618768E-4	8.056100653767814E-5	7.650877126822723E-5	1.4093234365635877E-4	4.333379385094292E-5
1.0830968082569158E-4	8.061440451386706E-5	7.6515102359447E-5	1.4131021039438127E-4	4.331444606119003E-5
1.1052008247519549E-4	8.062223627987037E-5	7.651160123639403E-5	1.4150632010336911E-4	4.33123298310841E-5
1.127304841246994E-4	8.061996189337801E-5	7.650921876381951E-5	1.4150632010336911E-4	4.33123298310841E-5
1.149408857742033E-4	8.06226315521763E-5	7.650921876381951E-5	1.4151508356611452E-4	4.33123298310841E-5
1.1715128742370721E-4	8.062391462722516E-5	7.650523796799786E-5	1.415658112816798E-4	4.3300739583260433E-5
1.1936168907321111E-4	8.064460632934526E-5	7.651486436342812E-5	1.4168379728038064E-4	4.3278168398761916E-5
