	Bayesian Skyline: lin1_snps_50per_recoded_noEgypt.log			
Time	Mean	Median	Upper	Lower
0.0	0.008267127568599117	0.007588527219638945	0.01961529511698688	0.0014784500879137473
2.0233752328042043E-6	0.009870805548578995	0.009139928491326015	0.019719396236704465	0.004012004943184305
4.046750465608409E-6	0.009995946020514795	0.009264256951102568	0.019816469298671924	0.004318126419634238
6.070125698412613E-6	0.010282501906944715	0.009512015263728224	0.02049150212914915	0.004732898828385846
8.093500931216817E-6	0.010524699707166874	0.009683479906099269	0.021048406054095675	0.005057624158249884
1.011687616402102E-5	0.010840253700682305	0.00993102494767981	0.022021168837036722	0.005424373038721427
1.2140251396825224E-5	0.010939963881406332	0.010001888828039894	0.022243557198611243	0.00549953434124759
1.4163626629629428E-5	0.011008958651199923	0.010036737673018117	0.02263742717381513	0.005528071243312483
1.618700186243363E-5	0.011122252575062557	0.01009290055545915	0.023306914368564087	0.005524367868613661
1.8210377095237835E-5	0.01113165470573136	0.010095628788576314	0.023314028148756476	0.005522720862544046
2.0233752328042038E-5	0.011132847920413825	0.010101125856815748	0.023314028148756476	0.005522614408410125
2.2257127560846242E-5	0.011114892329802183	0.010085358368769315	0.023310269853604283	0.005505672747293235
2.4280502793650445E-5	0.011021063813408075	0.010013386883096186	0.023175655012722736	0.005318851136300544
2.630387802645465E-5	0.010492663944791697	0.009648798652558657	0.022167495728690003	0.0035002331500824076
2.8327253259258852E-5	0.009362667236371155	0.008801173183222618	0.020598444202394053	0.002340484515373968
3.0350628492063056E-5	0.008004322039017013	0.007634889446067014	0.018628436274976682	0.001994041284632091
3.237400372486726E-5	0.006296971696384615	0.005171980878670692	0.016300639196776438	0.0016532995617922605
3.4397378957671466E-5	0.004197090153921732	0.0027872206281447463	0.01326344177818777	0.0012769395325019969
3.642075419047567E-5	0.0028393897646233784	0.002389900959358148	0.008236302259456664	0.0011341382762619899
3.844412942327987E-5	0.002506386242003635	0.002338880172435282	0.0048229977745543485	0.0012546455445586594
4.0467504656084077E-5	0.002486454528521853	0.0023461863960115275	0.0043771714083780345	0.0014278321351901722
4.249087988888828E-5	0.0024882612495201748	0.0023555569658851023	0.004263910897727332	0.001488185487359742
4.4514255121692483E-5	0.002491578776739593	0.0023574216274492923	0.0042113447718547	0.0015276931364288525
4.653763035449669E-5	0.0024974903674140868	0.0023555974193143394	0.004300432989260496	0.0015398831609313727
4.856100558730089E-5	0.0024949937863848705	0.0023499636157722067	0.004324809263747523	0.0015423230300656216
5.0584380820105094E-5	0.00248470433326576	0.002339698314663091	0.0043526218537984825	0.001530446973198924
5.26077560529093E-5	0.0024658794477206035	0.0023272558989729953	0.004315766014421184	0.0015073681452016903
5.46311312857135E-5	0.0024342728007704013	0.0023024770261419994	0.004159972329971813	0.0014679545941004243
5.6654506518517704E-5	0.002370401205271091	0.0022570240929078375	0.004020651760304193	0.0013930463375933166
5.867788175132191E-5	0.0022981510793435743	0.002195006653037391	0.0038571799167925807	0.001292971068061384
6.070125698412611E-5	0.00221914414155339	0.0021291776823140454	0.003681613639551468	0.0012057593435227498
6.272463221693031E-5	0.0021586804383780718	0.0020824562886512434	0.003599568958225475	0.0011555593473069946
6.474800744973453E-5	0.0021216247444157234	0.0020468998338283805	0.003562095612290345	0.0011410938210996838
6.677138268253874E-5	0.002092655744876296	0.0020248797446678585	0.003526296644014157	0.0011239454714289116
6.879475791534295E-5	0.0020582978172827924	0.001989073117230478	0.0035041565336653554	0.0010725656053723956
7.081813314814716E-5	0.0020081309982954384	0.0019386535521258238	0.003454031159629406	0.0010068155114452348
7.284150838095137E-5	0.0019573994275979356	0.001891687685188967	0.003390287418541937	9.604157177634234E-4
7.486488361375558E-5	0.001913446206720381	0.001844693306155467	0.0033420190432480604	9.105985018510485E-4
7.688825884655979E-5	0.0018678428808393877	0.0018008225556623895	0.00329951893479998	8.807631711136885E-4
7.8911634079364E-5	0.0018093962997227557	0.0017421349341995554	0.003236639455668747	8.273396383669359E-4
8.093500931216821E-5	0.0017397248330914732	0.0016738828204823943	0.0031828573378394473	7.612721390890607E-4
8.295838454497242E-5	0.001651333616262244	0.0015754507119862587	0.0030803302213262733	6.932680933039666E-4
8.498175977777663E-5	0.0015569108327202143	0.0014753395982567553	0.002965408280753932	6.223904635429573E-4
8.700513501058084E-5	0.001431107629856074	0.0013232212534674984	0.0028735120966090592	5.350802250861635E-4
8.902851024338505E-5	0.0012754608118943369	0.0011568469489396742	0.002666640637070865	4.6917437128166133E-4
9.105188547618926E-5	0.00112315267965366	0.001003175702391143	0.0024183193541732206	4.024426688537766E-4
9.307526070899347E-5	9.829989727496529E-4	8.744071948924952E-4	0.0021576093040438496	3.639311424222598E-4
9.509863594179768E-5	8.884334836132022E-4	7.993856275151237E-4	0.0019267870929702143	3.4182606395316654E-4
