Sample	Between	Within	Total	pvalue	Test
L1	19.1421027288679	80.8578972711321	100	0.000999000999000999	UN
L2	19.7848732714981	80.2151267285019	100	0.000999000999000999	UN
L3	15.9982925143449	84.0017074856551	100	0.003996003996004	UN
L4	4.42986131912857	95.5701386808714	100	0.001998001998002	UN
L1	5.35997437547154	94.6400256245285	100	0.021978021978022	Bot
L2	8.74256204648754	91.2574379535125	100	0.000999000999000999	Bot
L3	13.4307791913395	86.5692208086605	100	0.001998001998002	Bot
L4	1.9582124648472	98.0417875351528	100	0.0549450549450549	Bot
sub1	23.4493348779807	76.5506651220192	100	0.000999000999000999	UN
sub2	22.3744997666159	77.6255002333841	100	0.000999000999000999	UN
sub3	24.507428846856	75.492571153144	100	0.000999000999000999	UN
sub4	23.7557408525471	76.2442591474529	100	0.000999000999000999	UN
sub5	22.8111905062496	77.1888094937504	100	0.000999000999000999	UN
sub6	24.9195336565893	75.0804663434107	100	0.000999000999000999	UN
sub7	22.6695885785236	77.3304114214764	100	0.000999000999000999	UN
sub8	25.2873725165202	74.7126274834798	100	0.000999000999000999	UN
sub9	21.4168534047493	78.5831465952507	100	0.000999000999000999	UN
sub10	20.4740481135948	79.5259518864052	100	0.000999000999000999	UN
full	21.1324647198604	78.8675352801396	100	0.000999000999000999	UN
sub1	12.339727270276	87.660272729724	100	0.000999000999000999	Bot
sub2	12.866947750354	87.133052249646	100	0.000999000999000999	Bot
sub3	12.1148256098249	87.8851743901751	100	0.000999000999000999	Bot
sub4	16.4185421658292	83.5814578341708	100	0.000999000999000999	Bot
sub5	10.9582860382168	89.0417139617832	100	0.000999000999000999	Bot
sub6	13.0448288188076	86.9551711811925	100	0.000999000999000999	Bot
sub7	11.3536567662835	88.6463432337165	100	0.000999000999000999	Bot
sub8	15.0922629680463	84.9077370319537	100	0.000999000999000999	Bot
sub9	10.8513276703043	89.1486723296957	100	0.000999000999000999	Bot
sub10	13.5150035779589	86.4849964220411	100	0.000999000999000999	Bot
full	14.2860918416886	85.7139081583114	100	0.000999000999000999	Bot
