FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Eastern_Asia	Central_Asia	0.2994227489427389	0.050364774284338776
Eastern_Asia	Western_Asia	0.0404299247734858	0.007110321075436063
Eastern_Asia	Southern_Asia	0.27035369613355253	0.04569862607858386
Eastern_Asia	South_Eastern_Asia	152444.1103500126	1.0
Eastern_Asia	Southern_Europe	0.029634355406679632	0.0052216420397733585
Eastern_Asia	Western_Europe	0.0924368444885409	0.01610932118653483
Eastern_Asia	Eastern_Europe	0.61048563711963	0.09758175017590638
Eastern_Asia	Northern_Africa	0.28739144709114156	0.048439062326408176
Eastern_Asia	Eastern_Africa	0.031747901630230654	0.00559197126245232
Eastern_Asia	Western_Africa	0.03386302265910435	0.005962300485131282
Eastern_Asia	Southern_Africa	0.03894574887588261	0.00685109061956079
Eastern_Asia	Micronesia	0.701388456338418	0.11050624004740214
Eastern_Asia	Melanesia	0.03788609751083239	0.006665926008221309
Central_Asia	Western_Asia	0.5164158649432561	0.083805503092249
Central_Asia	Southern_Asia	94.05987045440412	0.9433766618523868
Central_Asia	South_Eastern_Asia	0.16815118724508632	0.0289227122912269
Central_Asia	Southern_Europe	0.04403758052142871	0.0077398807539902975
Central_Asia	Western_Europe	0.048500421758364186	0.008517572121616118
Central_Asia	Eastern_Europe	19050.573841268728	0.9997037366218569
Central_Asia	Northern_Africa	0.4832198304860673	0.07884309150835092
Central_Asia	Eastern_Africa	0.04064201316919061	0.007147353997703959
Central_Asia	Western_Africa	0.17059107594313272	0.029330074436173758
Central_Asia	Southern_Africa	0.04106623742890724	0.007221419842239751
Central_Asia	Micronesia	0.04085411738707422	0.007184386919971855
Central_Asia	Melanesia	0.04233929008203047	0.007443617375847128
Western_Asia	Southern_Asia	0.9912471325687658	0.1493537755064252
Western_Asia	South_Eastern_Asia	0.025622949876003494	0.004518016516683331
Western_Asia	Southern_Europe	0.06150370805424937	0.010776580379957783
Western_Asia	Western_Europe	0.05531442020070325	0.009702625634188795
Western_Asia	Eastern_Europe	15239.329941019882	0.999629670777321
Western_Asia	Northern_Africa	0.548714746823027	0.08858275006480762
Western_Asia	Eastern_Africa	0.03873378699389789	0.006814057697292894
Western_Asia	Western_Africa	0.20406782879230775	0.03488501277635818
Western_Asia	Southern_Africa	0.04361291284382056	0.007665814909454505
Western_Asia	Micronesia	0.045949369877461774	0.008073177054401363
Western_Asia	Melanesia	0.06364106243674013	0.011146909602636744
Southern_Asia	South_Eastern_Asia	84.45466864695038	0.9373402955227197
Southern_Asia	Southern_Europe	0.05595406875904044	0.009813724400992482
Southern_Asia	Western_Europe	0.04935128064526035	0.008665703810687701
Southern_Asia	Eastern_Europe	796.721476929883	0.9929637447690998
Southern_Asia	Northern_Africa	0.4586787886242966	0.07513979928156131
Southern_Asia	Eastern_Africa	0.04956403510000923	0.008702736732955598
Southern_Asia	Western_Africa	0.14760456223757962	0.02547865052031256
Southern_Asia	Southern_Africa	0.0536093921594985	0.009406362256045625
Southern_Asia	Micronesia	0.05062804586098007	0.008887901344295079
Southern_Asia	Melanesia	0.04531196402402554	0.007962078287597674
South_Eastern_Asia	Southern_Europe	201.20611209814018	0.9727067362885605
South_Eastern_Asia	Western_Europe	1853.4977060096892	0.9969633003740325
South_Eastern_Asia	Eastern_Europe	4.533264787870492	0.4453579231937192
South_Eastern_Asia	Northern_Africa	0.1401290985048177	0.024219531163204088
South_Eastern_Asia	Eastern_Africa	25.63891955775196	0.819538569788542
South_Eastern_Asia	Western_Africa	0.12196095034372807	0.02114579861496871
South_Eastern_Asia	Southern_Africa	10157.67140735958	0.9994445061659816
South_Eastern_Asia	Micronesia	37.50456817344538	0.8691626856275229
South_Eastern_Asia	Melanesia	0.15443728177477387	0.02662667111061734
Southern_Europe	Western_Europe	0.11977971559808996	0.020775469392289747
Southern_Europe	Eastern_Europe	0.20788618897041797	0.035514572454912414
Southern_Europe	Northern_Africa	0.6295419791994942	0.1003221864237307
Southern_Europe	Eastern_Africa	0.27379938243094676	0.0462541199126023
Southern_Europe	Western_Africa	14.883528833375722	0.7249935192386031
Southern_Europe	Southern_Africa	0.06193105089753854	0.010850646224493575
Southern_Europe	Micronesia	0.07220651293034042	0.01262822649335259
Southern_Europe	Melanesia	27.933581447788878	0.8318705329037515
Western_Europe	Eastern_Europe	148.18860442528242	0.9633003740325149
Western_Europe	Northern_Africa	0.5739865623788817	0.09228604229159723
Western_Europe	Eastern_Africa	0.05680715681661978	0.009961856090064067
Western_Europe	Western_Africa	0.21734119006371097	0.03706995519016405
Western_Europe	Southern_Africa	0.054461778677536564	0.00955449394511721
Western_Europe	Micronesia	0.09286883250394112	0.016183387031070622
Western_Europe	Melanesia	0.10933271278101976	0.01899788912343073
Eastern_Europe	Northern_Africa	0.30987390614586763	0.0520312557863941
Eastern_Europe	Eastern_Africa	0.11107124995399868	0.0192941525015739
Eastern_Europe	Western_Africa	35.335457242876615	0.8622375291634263
Eastern_Europe	Southern_Africa	0.04658691852961062	0.008184275821205051
Eastern_Europe	Micronesia	0.05595406875904044	0.009813724400992482
Eastern_Europe	Melanesia	0.15443728177477387	0.02662667111061734
Northern_Africa	Eastern_Africa	0.6769078863691819	0.1070621782764878
Northern_Africa	Western_Africa	0.6393728529562693	0.10172943746991076
Northern_Africa	Southern_Africa	0.5562747013133595	0.0896937377328445
Northern_Africa	Micronesia	0.623606639943202	0.09947042921156908
Northern_Africa	Melanesia	0.576271143994181	0.0926193385920083
Eastern_Africa	Western_Africa	710.0808940727821	0.9921119875569381
