	Bayesian Skyline: lin3_snps_50per_recoded_noEgypt.log			
Time	Mean	Median	Upper	Lower
0.0	0.008591458967300635	0.00641774251395504	0.026693564312188188	0.002313765528306525
1.6638234622790184E-6	0.008565489804243027	0.006606092814392156	0.025687317301878572	0.0030846806500165152
3.327646924558037E-6	0.008565964228602285	0.006606092814392156	0.025687317301878572	0.0030860290815198092
4.991470386837055E-6	0.008565964228602285	0.006606092814392156	0.025687317301878572	0.0030860290815198092
6.655293849116074E-6	0.008565489665158996	0.00660196783186575	0.025687317301878572	0.0030860290815198092
8.319117311395091E-6	0.008550410811866945	0.006581961560875012	0.02567363586334357	0.003081688129218564
9.982940773674109E-6	0.008292749145848313	0.006414312137840269	0.02441672431744487	0.0030171405134678934
1.1646764235953126E-5	0.007759547667324058	0.006056386589277624	0.02234370198571795	0.0028308106886056825
1.3310587698232144E-5	0.007223193168656114	0.005702972489166168	0.020359242296324603	0.0026490418481649493
1.4974411160511161E-5	0.006701807798634477	0.005354682916483983	0.01839771520929742	0.002437720138838669
1.663823462279018E-5	0.006132708444277108	0.004974716213454348	0.016975710186502936	0.0021965157479138155
1.8302058085069197E-5	0.005311905996450319	0.0044823376320360184	0.01412507968853198	0.0018221641234514557
1.9965881547348214E-5	0.004484588225486488	0.00398362874977448	0.01074458546270215	0.0015516794485976324
2.1629705009627232E-5	0.004055807758681347	0.0037305976364253165	0.008517708198635916	0.0015265308195899566
2.329352847190625E-5	0.003928006219129915	0.00365777774786331	0.007763441303983142	0.0016454723353976056
2.4957351934185267E-5	0.003967659626029083	0.003691402538658683	0.007677286822198327	0.0017926882998751217
2.6621175396464284E-5	0.004006937152709604	0.003714339837225448	0.0077779923388850425	0.001902256799787181
2.8284998858743302E-5	0.0040391381645319075	0.003732757321364968	0.007913715154614167	0.001967430871861942
2.994882232102232E-5	0.004066344581196265	0.003739102167162514	0.008079518234965697	0.0020050853930457363
3.161264578330134E-5	0.004073849749767895	0.0037367207394214982	0.008176058284925288	0.0020050853930457363
3.327646924558036E-5	0.004078451403458701	0.003735711636341552	0.008254672650674578	0.0020139793092647925
3.4940292707859376E-5	0.004061507664275676	0.0037282842919088544	0.008195641121962414	0.001994021846626085
3.660411617013839E-5	0.004024431619368794	0.0036948807111458226	0.008148225934519126	0.0019606021574778702
3.826793963241741E-5	0.003957886801856988	0.0036420328487905087	0.008058717658271727	0.0018653815562682178
3.993176309469643E-5	0.00384778616987194	0.00354791627310282	0.007835654278709046	0.0017021153973433335
4.1595586556975446E-5	0.0037263309287863013	0.003447776239350983	0.007656351440168559	0.0015004746364867608
4.3259410019254464E-5	0.003581596279114104	0.0033211645810677336	0.007448588754804686	0.0013389032205838374
4.492323348153348E-5	0.003435215354368887	0.00320636468241482	0.007259930242889409	0.0011960749878401503
4.65870569438125E-5	0.0032419152805098915	0.0030388979300889564	0.006991360539551756	9.640694526370552E-4
4.8250880406091516E-5	0.002972479571017367	0.0027915313171827587	0.006562851437922626	7.800586269744238E-4
4.9914703868370534E-5	0.002615986365643811	0.0024159804744240177	0.006122363298600797	6.344395667242627E-4
5.157852733064955E-5	0.002252530806600068	0.0019705976473797485	0.0056558412121255775	5.392377112748951E-4
5.324235079292857E-5	0.001836603702819197	0.0013780623392729502	0.005115358240122989	4.308529122089904E-4
5.4906174255207586E-5	0.001321894892122368	9.044882445771755E-4	0.004276230738157362	3.1847153242588427E-4
5.6569997717486604E-5	9.503277552606784E-4	7.397135967323813E-4	0.0031213022569659982	2.8952677803547504E-4
5.823382117976562E-5	7.95117009622159E-4	6.905984169186393E-4	0.0020245642506843595	2.827539869807587E-4
5.989764464204464E-5	7.482275784340364E-4	6.837451017430181E-4	0.0015905494694225832	3.0645078051816653E-4
6.156146810432366E-5	7.582913754132211E-4	6.97580121654073E-4	0.001530121210663395	3.557731004652131E-4
6.322529156660268E-5	7.78620802379873E-4	7.156003201366467E-4	0.0015619108041202894	3.8627742636447484E-4
6.48891150288817E-5	7.917763682217801E-4	7.240804268539603E-4	0.0016122268149969495	3.969429045573E-4
6.655293849116073E-5	7.961993537510088E-4	7.241218889302163E-4	0.001633960387221564	3.9764291273786757E-4
6.821676195343975E-5	7.907618798105047E-4	7.203340803692296E-4	0.0016206955372647016	3.886478176394048E-4
6.988058541571878E-5	7.847460772291198E-4	7.138167820279359E-4	0.0016165800382667657	3.7735492332813947E-4
7.15444088779978E-5	7.731479218734112E-4	6.996667029659383E-4	0.0016285136861636687	3.4852197859130117E-4
7.320823234027683E-5	7.589305265458872E-4	6.857168742471768E-4	0.001628494938709528	3.2110021575705214E-4
7.487205580255585E-5	7.313016217577171E-4	6.62365312332276E-4	0.0016081246267911043	2.8319087897375224E-4
7.653587926483488E-5	6.899527512435733E-4	6.267295727773794E-4	0.0015590382417012213	2.3862270872541716E-4
