	Bayesian Skyline: Mtb.SNPs.GTR+G.BSP.Strict.DiscreteSym_UN.NoEgypt.200m.Combined_no4.thinned.log			
Time	Mean	Median	Upper	Lower
0.0	0.21240159397914748	0.19246097154558706	0.4789472363923655	0.09783815805178354
1.562058575316966E-4	0.5908547475517705	0.587833159784896	0.7193632361383263	0.46332337293088444
3.124117150633932E-4	0.5917009659412691	0.5881405647838539	0.7210088144134661	0.472887053073596
4.6861757259508984E-4	0.6015518467192204	0.591524040172028	0.7605277408861214	0.5018179940731303
6.248234301267864E-4	0.6021527131383494	0.5917399727984559	0.7646113670871459	0.5028606049409385
7.810292876584831E-4	0.6021104539385705	0.5917104001115164	0.7651790093285197	0.5024796870631153
9.372351451901798E-4	0.5812399845088649	0.5842811402116498	0.7392885030718782	0.3307345709086317
0.0010934410027218764	0.4771232657590287	0.5351811387602288	0.6637268127048569	0.2624971066575149
0.0012496468602535731	0.40732644259743744	0.34622797484111667	0.644369394143434	0.20292716263459426
0.0014058527177852698	0.2665861177643932	0.2649157275729367	0.3961545716806595	0.165741779679126
0.0015620585753169664	0.2615505890487129	0.2614894380873167	0.3841085706970967	0.16195180415277108
0.001718264432848663	0.16041418080799977	0.13232957250751454	0.29126136774533967	0.10026116006498816
0.0018744702903803598	0.13807414113368452	0.11963255386303694	0.22698697069895452	0.09616949662897158
0.0020306761479120562	0.1318231799157482	0.11746069902099567	0.21179254128383537	0.09363678727895235
0.002186882005443753	0.12211970671667652	0.11387932014850119	0.20410759602174594	0.08235188125517501
0.0023430878629754496	0.10634551013788258	0.10863572697001322	0.13417067963028165	0.0706481478938569
0.0024992937205071462	0.10596447532148895	0.10846047087456248	0.13339779030059626	0.07031625936979286
0.002655499578038843	0.10594762573840541	0.10844594244511492	0.13339251049547815	0.07031625936979286
0.0028117054355705396	0.10594288946430816	0.1084446522206904	0.13337719548586424	0.07031625936979286
0.0029679112931022362	0.10587497902682372	0.10840567373030868	0.1333718557536533	0.07015281191927907
0.003124117150633933	0.09963573693562001	0.10622238897511457	0.13253424481110324	0.029340506353945174
0.0032803230081656296	0.056372032356824184	0.031921428072190665	0.12281201125550956	0.023324817072001465
0.003436528865697326	0.031224999948435434	0.027978302599955897	0.07956916218888392	0.02175438170029038
0.003592734723229023	0.03009195161850602	0.027828762385198567	0.07286024302892298	0.021636766049274236
0.0037489405807607195	0.029564330531844235	0.027752352756348467	0.06955630670651868	0.021434326140116762
0.003905146438292416	0.028492035671780165	0.027577441155069167	0.03780749480336767	0.020719650689244862
0.0040613522958241124	0.027612006747556855	0.027437524292210785	0.03549145021738735	0.019866940007116453
0.004217558153355809	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.004373764010887505	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.004529969868419201	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.004686175725950897	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.004842381583482594	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.00499858744101429	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.005154793298545986	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.005310999156077682	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.0054672050136093785	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
