	Bayesian Skyline: Mtb.SNPs.GTR+G.BSP.Strict.DiscreteSym_UN.NoEgypt.200m.Combined_no4.thinned.log			
Time	Mean	Median	Upper	Lower
0.012808880317599101	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.012965086175130798	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.013121292032662494	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.01327749789019419	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.013433703747725886	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.013589909605257583	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.013746115462789279	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.013902321320320975	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.014058527177852671	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.014214733035384368	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.014370938892916064	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.01452714475044776	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.014683350607979456	0.027537882868890348	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.014839556465511152	0.02753818328538736	0.02742562169134711	0.03535891945860716	0.019796577647416443
0.014995762323042849	0.02753615463291653	0.027423295999328825	0.03535818793711045	0.019799975989085936
0.015151968180574545	0.02754270004284965	0.027427605704117335	0.03539263018796977	0.019796577647416443
0.015308174038106241	0.027542235300326186	0.027419807459847765	0.035526513219052196	0.019758320850086362
0.015464379895637937	0.02752438793348161	0.027396893976092178	0.03539263018796977	0.0196825579367304
