	Bayesian Skyline: Mtb.SNPs.2016.02.23.GTR+G.BSP.Strict.DiscreteSym_UN.100m.Combined01234567.resampled.log			
Time	Mean	Median	Upper	Lower
0.0	0.19733024013325717	0.180696363468955	0.410981963544315	0.09232442119584296
1.5620911605055746E-4	0.596187397368561	0.5937654157904416	0.7305014245719401	0.464002073677033
3.1241823210111493E-4	0.5971600218632173	0.5941273808168254	0.7314574472004379	0.4729212938561871
4.686273481516724E-4	0.6078287733965577	0.5977309016003607	0.7673873205896041	0.5089820851905935
6.248364642022299E-4	0.6081221638138685	0.5978381611386872	0.7704197792133354	0.5097273724681665
7.810455802527873E-4	0.6080865189175287	0.5978332169988946	0.7704197792133354	0.5096719013854615
9.372546963033447E-4	0.5878434731167912	0.5911535712852471	0.738632850075937	0.3419872514806222
0.0010934638123539023	0.49559018328062426	0.5502562790946898	0.6749675840333306	0.27062328222210197
0.0012496729284044597	0.4241140469234055	0.36380165335174663	0.6580155652400268	0.2096465142041859
0.0014058820444550171	0.2670437107228061	0.2641390790524129	0.39575612721998465	0.16552283489413336
0.0015620911605055746	0.26260074528781474	0.2596896311232474	0.3861705369878392	0.15855606833792954
0.001718300276556132	0.1551835005566206	0.12520861726515295	0.2817052975540775	0.09950985460199986
0.0018745093926066895	0.1307795728909676	0.11680077244962328	0.21725916033095485	0.09573517912935951
0.002030718508657247	0.1252203939695724	0.11520885421785244	0.2038834380299613	0.0940174776298394
0.0021869276247078046	0.11846068829601528	0.11317929534144244	0.19567154769845352	0.0855935324043588
0.002343136740758362	0.10844665638271685	0.1101843914756493	0.13406102345972637	0.0740433697069846
0.00249934585680892	0.10828671295846315	0.11011808609689012	0.13358255429627822	0.07391228709644916
0.0026555549728594775	0.1082626041328744	0.11009622712417362	0.13354801073708356	0.07387254094801557
0.002811764088910035	0.1082626041328744	0.11009622712417362	0.13354801073708356	0.07387254094801557
0.002967973204960593	0.10819920674564777	0.11008533931909117	0.13354801073708356	0.07368227733372014
0.0031241823210111505	0.10189050995936563	0.10821365813135823	0.13212469120459677	0.029203782750788363
0.003280391437061708	0.05874246668704261	0.03194941436120358	0.12516888424431435	0.023164280639737033
0.0034366005531122658	0.030578985763521176	0.027809310879263027	0.07905375699510184	0.021616523732689047
0.0035928096691628234	0.029628221412982367	0.027686981950910485	0.07268708701494532	0.021571743172082
0.003749018785213381	0.029172780833300993	0.02762892628641601	0.06765719891489407	0.021418313172906343
0.0039052279012639387	0.02812419306739908	0.027495094210646075	0.03619163087178731	0.020819874964469978
0.004061437017314496	0.027492028854018424	0.027401940505546837	0.035184650337366806	0.020222064727239315
0.004217646133365054	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.004373855249415611	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.004530064365466168	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.004686273481516725	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.0048424825975672825	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.00499869171361784	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005154900829668397	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005311109945718954	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005467319061769511	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005623528177820069	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005779737293870626	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.005935946409921183	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.00609215552597174	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.0062483646420222975	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.006404573758072855	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.006560782874123412	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.006716991990173969	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.006873201106224526	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.007029410222275084	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.007185619338325641	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.007341828454376198	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.007498037570426755	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.0076542466864773125	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.00781045580252787	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.007966664918578427	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.008122874034628984	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.008279083150679541	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.008435292266730099	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.008591501382780656	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.008747710498831213	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.00890391961488177	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009060128730932327	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009216337846982885	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009372546963033442	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009528756079083999	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009684965195134556	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.009841174311185114	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.00999738342723567	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.010153592543286228	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.010309801659336785	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.010466010775387342	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.0106222198914379	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.010778429007488457	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.010934638123539014	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
0.011090847239589571	0.027477028250324206	0.02739846242845722	0.035172053197777345	0.020204383555726797
