burnIn   <= 27003000,   maxState  = 270030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Asia.Central_Asia	0.9799	1.0015	0.6618	9.1122E-4	2.9676	2296.7836	1.5609E-3	0.6619	
Geography.rates.Eastern_Asia.Western_Asia	0.9933	0.9674	0.7012	2.2575E-4	2.9041	2456.107	3.8516E-4	0.7013	
Geography.rates.Eastern_Asia.Southern_Asia	0.9488	0.9572	0.651	1.6779E-4	2.8357	2288.8722	1.3999E-3	0.6521	
Geography.rates.Eastern_Asia.South_Eastern_Asia	2.1867	0.76	2.0807	0.9314	3.7696	3914.3618	1.4714	2.4197	
Geography.rates.Eastern_Asia.Southern_Europe	0.9797	0.9969	0.6649	2.3469E-4	3.0023	2258.7985	3.1956E-4	0.6649	
Geography.rates.Eastern_Asia.Western_Europe	1.0202	1.0058	0.7133	2.4487E-4	3.0315	2351.1697	2.4487E-4	0.7133	
Geography.rates.Eastern_Asia.Eastern_Europe	0.9641	0.9581	0.6688	1.4459E-5	2.8632	2251.3486	1.4459E-5	0.6688	
Geography.rates.Eastern_Asia.Northern_Africa	0.9411	1.013	0.6166	8.8193E-5	2.9609	1676.5027	8.8193E-5	0.6166	
Geography.rates.Eastern_Asia.Eastern_Africa	1.011	1.0129	0.7004	8.2527E-4	3.0286	1950.1276	8.2527E-4	0.7004	
Geography.rates.Eastern_Asia.Western_Africa	1.0156	0.9926	0.7177	2.6902E-4	2.9991	2058.5564	3.6707E-4	0.7178	
Geography.rates.Eastern_Asia.Southern_Africa	0.9941	0.9945	0.6872	1.0989E-4	2.9409	2254.5559	1.1492E-3	0.6877	
Geography.rates.Eastern_Asia.Micronesia	0.9182	0.9634	0.593	5.8516E-4	2.8964	1731.3442	2.0427E-3	0.5941	
Geography.rates.Eastern_Asia.Melanesia	0.9904	1.0089	0.6706	6.2016E-4	3.0168	2346.4723	2.7421E-3	0.6724	
Geography.rates.Central_Asia.Western_Asia	0.9426	0.9625	0.6473	1.2942E-4	2.872	2178.2461	3.427E-4	0.6474	
Geography.rates.Central_Asia.Southern_Asia	1.4035	0.7231	1.2862	0.195	2.8939	4155.5195	0.7113	1.5535	
Geography.rates.Central_Asia.South_Eastern_Asia	0.9612	0.9913	0.6557	3.3294E-4	2.9089	2205.9695	3.3294E-4	0.6557	
Geography.rates.Central_Asia.Southern_Europe	1.0276	1.0041	0.7281	2.8589E-4	3.0256	2356.7427	2.8589E-4	0.7281	
Geography.rates.Central_Asia.Western_Europe	1.0209	1.0211	0.7095	5.4407E-4	3.065	1876.2635	9.8044E-4	0.7096	
Geography.rates.Central_Asia.Eastern_Europe	1.8709	0.8234	1.7471	0.4829	3.5084	5629.9349	1.0434	2.0276	
Geography.rates.Central_Asia.Northern_Africa	0.9539	0.9982	0.6269	4.8128E-4	2.9426	1801.8183	1.0339E-3	0.6271	
Geography.rates.Central_Asia.Eastern_Africa	1.0261	1.0182	0.716	4.6435E-4	3.0577	2216.2879	4.6435E-4	0.716	
Geography.rates.Central_Asia.Western_Africa	0.9717	0.984	0.6568	1.2308E-4	2.9427	2167.5392	1.2308E-4	0.6568	
Geography.rates.Central_Asia.Southern_Africa	0.9818	0.9915	0.679	5.0834E-5	2.9451	2213.9333	5.0834E-5	0.679	
Geography.rates.Central_Asia.Micronesia	1.0157	1.0094	0.7028	6.0724E-4	3.0288	2366.3996	4.329E-3	0.7063	
Geography.rates.Central_Asia.Melanesia	0.9872	0.9806	0.6945	1.2577E-4	2.9181	1927.0607	1.4425E-4	0.6945	
Geography.rates.Western_Asia.Southern_Asia	0.9146	0.9416	0.6184	1.2204E-3	2.7929	2205.8441	2.79E-3	0.6191	
Geography.rates.Western_Asia.South_Eastern_Asia	1.0074	1.0175	0.7018	1.2584E-5	3.0475	2095.16	1.2584E-5	0.7018	
Geography.rates.Western_Asia.Southern_Europe	0.988	0.9781	0.6919	1.2642E-3	2.9208	1938.5025	2.954E-3	0.693	
Geography.rates.Western_Asia.Western_Europe	1	0.9963	0.6928	1.8374E-4	2.9701	1971.6855	1.8374E-4	0.6928	
Geography.rates.Western_Asia.Eastern_Europe	1.7651	0.8033	1.6369	0.4268	3.3376	5399.9074	0.9031	1.8661	
Geography.rates.Western_Asia.Northern_Africa	0.9373	0.9789	0.6229	3.8201E-4	2.9086	1877.9901	7.689E-4	0.6232	
Geography.rates.Western_Asia.Eastern_Africa	0.9789	0.991	0.6669	7.3146E-4	2.9833	2373.9484	7.3146E-4	0.6669	
Geography.rates.Western_Asia.Western_Africa	0.9902	0.9947	0.686	2.5657E-4	2.9942	2297.253	3.6918E-4	0.6861	
Geography.rates.Western_Asia.Southern_Africa	1.0148	1.008	0.7062	1.3765E-4	3.0119	2563.7039	2.3916E-4	0.7062	
Geography.rates.Western_Asia.Micronesia	0.984	0.9988	0.6736	1.0884E-4	2.9848	2163.7114	2.1294E-3	0.6752	
Geography.rates.Western_Asia.Melanesia	1.025	1.0107	0.7123	1.3921E-3	3.0326	2357.8214	2.8122E-3	0.7127	
