burnIn   <= 27003000,   maxState  = 270030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Southern_Asia.South_Eastern_Asia	0.9962	0.531	0.9103	0.1483	2.0295	4462.6941	0.5089	1.0932	
Geography.rates.Southern_Asia.Southern_Europe	0.9946	1.0256	0.6724	2.5329E-4	3.0468	2124.4062	3.2905E-4	0.6724	
Geography.rates.Southern_Asia.Western_Europe	0.9888	0.9961	0.6752	5.3014E-4	3.0208	2174.5576	1.1224E-3	0.6754	
Geography.rates.Southern_Asia.Eastern_Europe	1.6774	0.8469	1.5319	0.2922	3.3809	4078.6588	0.8121	1.8162	
Geography.rates.Southern_Asia.Northern_Africa	0.9252	0.9802	0.6215	2.7289E-5	2.8732	1419.3875	2.7289E-5	0.6215	
Geography.rates.Southern_Asia.Eastern_Africa	0.9917	0.9921	0.6901	1.8972E-5	2.9843	1241.4592	1.8972E-5	0.6901	
Geography.rates.Southern_Asia.Western_Africa	0.9931	0.9791	0.701	1.8407E-3	2.9339	2291.046	3.2412E-3	0.7016	
Geography.rates.Southern_Asia.Southern_Africa	1.0555	1.0407	0.7478	6.491E-5	3.122	2461.3759	6.491E-5	0.7478	
Geography.rates.Southern_Asia.Micronesia	1.0049	1.0436	0.6777	9.653E-5	3.08	1830.3908	1.0228E-3	0.6782	
Geography.rates.Southern_Asia.Melanesia	0.9712	0.9949	0.6605	1.9028E-4	2.9685	2153.1283	9.3729E-5	0.6605	
Geography.rates.South_Eastern_Asia.Southern_Europe	0.4581	0.3011	0.3966	0.0344	1.025	3945.2917	0.164	0.467	
Geography.rates.South_Eastern_Asia.Western_Europe	1.155	0.5082	1.0719	0.3276	2.1672	4553.8799	0.6447	1.248	
Geography.rates.South_Eastern_Asia.Eastern_Europe	0.9169	0.7821	0.7245	1.0102E-4	2.3941	2640.1305	0.166	0.8601	
Geography.rates.South_Eastern_Asia.Northern_Africa	0.9658	0.9955	0.6519	1.1244E-4	2.9673	1520.0843	7.8658E-5	0.6519	
Geography.rates.South_Eastern_Asia.Eastern_Africa	0.7463	0.5673	0.6223	1.976E-3	1.7009	2966.151	0.2834	0.7579	
Geography.rates.South_Eastern_Asia.Western_Africa	1.0112	0.9965	0.706	1.6303E-4	2.9856	2117.4716	7.4494E-3	0.7124	
Geography.rates.South_Eastern_Asia.Southern_Africa	1.0635	0.4835	0.979	0.2741	2.0408	4727.3433	0.572	1.1346	
Geography.rates.South_Eastern_Asia.Micronesia	0.4472	0.5085	0.3192	0.0115	1.1691	636.7352	0.1048	0.3697	
Geography.rates.South_Eastern_Asia.Melanesia	0.9772	0.9997	0.6619	2.2103E-5	2.9849	1908.3019	2.2103E-5	0.6619	
Geography.rates.Southern_Europe.Western_Europe	0.9642	0.997	0.647	8.7422E-5	2.9746	2037.4404	8.7422E-5	0.647	
Geography.rates.Southern_Europe.Eastern_Europe	0.9614	0.986	0.6505	1.4482E-4	2.9215	2190.6931	1.4482E-4	0.6505	
Geography.rates.Southern_Europe.Northern_Africa	0.909	0.9565	0.5922	9.9066E-4	2.8391	1460.9577	1.1375E-3	0.5922	
Geography.rates.Southern_Europe.Eastern_Africa	0.9769	0.9762	0.6692	9.1495E-5	2.9143	2363.2417	1.3655E-4	0.6692	
Geography.rates.Southern_Europe.Western_Africa	0.7199	0.6595	0.541	1.8312E-4	1.9397	2722.1372	0.0657	0.578	
Geography.rates.Southern_Europe.Southern_Africa	0.9925	0.993	0.6839	8.0207E-4	2.9764	2326.0204	1.0959E-3	0.684	
Geography.rates.Southern_Europe.Micronesia	1.004	0.9815	0.7138	4.2072E-4	2.9375	2504.4996	6.3379E-4	0.7139	
Geography.rates.Southern_Europe.Melanesia	0.6911	0.5998	0.5383	4.8997E-5	1.7812	2392.9764	0.1038	0.6054	
Geography.rates.Western_Europe.Eastern_Europe	0.9831	0.6205	0.8621	0.0528	2.1899	3995.3899	0.355	1.0381	
Geography.rates.Western_Europe.Northern_Africa	0.8993	0.984	0.5653	3.4062E-4	2.9122	1537.3214	7.1893E-4	0.5654	
Geography.rates.Western_Europe.Eastern_Africa	1.0215	1.0089	0.7128	3.2255E-4	3.0144	2063.568	3.2255E-4	0.7128	
Geography.rates.Western_Europe.Western_Africa	0.9834	0.9821	0.6798	7.0034E-5	2.9647	2305.5918	7.0034E-5	0.6798	
Geography.rates.Western_Europe.Southern_Africa	0.9881	1.0066	0.6753	8.8844E-4	3.0031	2133.0766	1.3771E-3	0.6755	
Geography.rates.Western_Europe.Micronesia	0.9834	0.9961	0.6677	6.0582E-4	2.989	2305.1323	3.5269E-3	0.6695	
Geography.rates.Western_Europe.Melanesia	0.9751	0.9891	0.6744	2.7081E-4	2.9157	2107.9342	2.7081E-4	0.6744	
Geography.rates.Eastern_Europe.Northern_Africa	0.9797	0.9891	0.671	8.6306E-7	2.9852	1744.1546	8.6306E-7	0.671	
Geography.rates.Eastern_Europe.Eastern_Africa	0.9858	1.0042	0.6827	9.2997E-5	2.9871	2181.5718	9.2997E-5	0.6827	
Geography.rates.Eastern_Europe.Western_Africa	0.6133	0.5274	0.4796	1.4474E-4	1.5721	2438.479	0.094	0.5342	
Geography.rates.Eastern_Europe.Southern_Africa	1.0587	1.035	0.741	2.6384E-4	3.1071	2597.9086	4.5652E-4	0.741	
Geography.rates.Eastern_Europe.Micronesia	0.9864	0.9785	0.694	2.2141E-4	2.9602	2311.9517	4.0291E-4	0.6941	
Geography.rates.Eastern_Europe.Melanesia	0.9846	0.9873	0.6773	1.9928E-4	2.9664	2198.4196	5.4579E-4	0.6774	
Geography.rates.Northern_Africa.Eastern_Africa	0.9242	0.9811	0.6095	3.8591E-4	2.8777	1405.3834	3.8591E-4	0.6095	
Geography.rates.Northern_Africa.Western_Africa	0.9486	0.9822	0.6275	4.792E-4	2.9008	1919.1682	8.7395E-4	0.6278	
Geography.rates.Northern_Africa.Southern_Africa	0.9551	0.9935	0.6385	9.0408E-4	2.9431	1549.6971	1.0976E-3	0.6387	
Geography.rates.Northern_Africa.Micronesia	0.9175	0.9662	0.6035	7.0161E-4	2.8876	1609.4664	9.8851E-4	0.6037	
Geography.rates.Northern_Africa.Melanesia	0.9183	0.9745	0.5991	1.9108E-4	2.8819	1498.0976	3.5816E-4	0.5992	
Geography.rates.Eastern_Africa.Western_Africa	0.6748	0.4986	0.5572	0.0104	1.6358	3943.5425	0.1401	0.6338	
Geography.rates.Eastern_Africa.Southern_Africa	1.0147	0.8298	0.8212	4.3772E-4	2.5921	2561.975	0.0817	0.896	
Geography.rates.Eastern_Africa.Micronesia	0.9998	1.0035	0.6928	1.9854E-5	2.9827	1964.9417	2.4079E-5	0.6928	
Geography.rates.Eastern_Africa.Melanesia	0.9881	0.9962	0.676	3.6104E-5	2.966	2033.3635	6.2149E-5	0.676	
Geography.rates.Western_Africa.Southern_Africa	0.9664	0.958	0.6745	1.1629E-3	2.8533	2170.7498	2.9658E-3	0.6753	
Geography.rates.Western_Africa.Micronesia	1.003	1.0016	0.6947	5.687E-5	3.0166	2136.6316	5.687E-5	0.6947	
Geography.rates.Western_Africa.Melanesia	0.9232	0.9332	0.6399	1.3204E-4	2.8121	2118.388	1.3204E-4	0.6399	
Geography.rates.Southern_Africa.Micronesia	0.9777	0.9743	0.6813	7.2523E-4	2.9247	2358.3646	1.5209E-3	0.6817	
Geography.rates.Southern_Africa.Melanesia	0.9737	0.9801	0.6706	1.2093E-4	2.931	2053.7096	1.2093E-4	0.6706	
Geography.rates.Micronesia.Melanesia	0.9995	0.9869	0.7029	8.6362E-4	2.9843	2454.4346	2.2504E-3	0.7039	
Geography.indicators.Eastern_Asia.Central_Asia	0.0506	0.2192	0	0	1	6531.5677	0	0	
Geography.indicators.Eastern_Asia.Western_Asia	7.4065E-3	0.0857	0	0	0	9186.1028	0	0	
Geography.indicators.Eastern_Asia.Southern_Asia	0.0451	0.2075	0	0	0	5365.7246	0	0	
Geography.indicators.Eastern_Asia.South_Eastern_Asia	1	0	0	0	0	10000	0	0	
Geography.indicators.Eastern_Asia.Southern_Europe	5.7195E-3	0.0754	0	0	0	7464.436	0	0	
Geography.indicators.Eastern_Asia.Western_Europe	0.0161	0.1258	0	0	0	7677.5826	0	0	
Geography.indicators.Eastern_Asia.Eastern_Europe	0.0992	0.2989	0	0	1	7308.9711	0	0	
Geography.indicators.Eastern_Asia.Northern_Africa	0.0418	0.2002	0	0	0	335.928	0	0	
Geography.indicators.Eastern_Asia.Eastern_Africa	5.596E-3	0.0746	0	0	0	9581.2023	0	0	
Geography.indicators.Eastern_Asia.Western_Africa	5.9663E-3	0.077	0	0	0	9751.2731	0	0	
Geography.indicators.Eastern_Asia.Southern_Africa	6.707E-3	0.0816	0	0	0	8728.4045	0	0	
Geography.indicators.Eastern_Asia.Micronesia	0.109	0.3116	0	0	1	339.8983	0	0	
Geography.indicators.Eastern_Asia.Melanesia	6.9539E-3	0.0831	0	0	0	3743.0302	0	0	
Geography.indicators.Central_Asia.Western_Asia	0.0831	0.2761	0	0	1	7933.5119	0	0	
Geography.indicators.Central_Asia.Southern_Asia	0.9442	0.2296	1	0	1	1471.8675	1	1	
Geography.indicators.Central_Asia.South_Eastern_Asia	0.0295	0.1691	0	0	0	6570.9153	0	0	
Geography.indicators.Central_Asia.Southern_Europe	8.0237E-3	0.0892	0	0	0	8829.5567	0	0	
Geography.indicators.Central_Asia.Western_Europe	8.5175E-3	0.0919	0	0	0	9135.3489	0	0	
Geography.indicators.Central_Asia.Eastern_Europe	0.9999	9.0714E-3	1	1	1	12152.7505	1	1	
Geography.indicators.Central_Asia.Northern_Africa	0.0745	0.2626	0	0	1	382.2762	0	0	
Geography.indicators.Central_Asia.Eastern_Africa	6.7893E-3	0.0821	0	0	0	7621.2883	0	0	
Geography.indicators.Central_Asia.Western_Africa	0.0294	0.1689	0	0	0	3210.1558	0	0	
Geography.indicators.Central_Asia.Southern_Africa	6.9127E-3	0.0829	0	0	0	8912.9439	0	0	
Geography.indicators.Central_Asia.Micronesia	7.3242E-3	0.0853	0	0	0	8813.5529	0	0	
Geography.indicators.Central_Asia.Melanesia	7.2419E-3	0.0848	0	0	0	8419.3802	0	0	
Geography.indicators.Western_Asia.Southern_Asia	0.1503	0.3573	0	0	1	7809.8634	0	0	
Geography.indicators.Western_Asia.South_Eastern_Asia	4.6496E-3	0.068	0	0	0	9965.9416	0	0	
Geography.indicators.Western_Asia.Southern_Europe	0.0112	0.1054	0	0	0	7228.2814	0	0	
Geography.indicators.Western_Asia.Western_Europe	9.8342E-3	0.0987	0	0	0	9359.8483	0	0	
Geography.indicators.Western_Asia.Eastern_Europe	0.9996	0.0203	1	1	1	3685.0327	1	1	
Geography.indicators.Western_Asia.Northern_Africa	0.0916	0.2885	0	0	1	494.7935	0	0	
Geography.indicators.Western_Asia.Eastern_Africa	7.1596E-3	0.0843	0	0	0	8045.1054	0	0	
Geography.indicators.Western_Asia.Western_Africa	0.0346	0.1827	0	0	0	2658.5181	0	0	
Geography.indicators.Western_Asia.Southern_Africa	7.5711E-3	0.0867	0	0	0	7775.234	0	0	
Geography.indicators.Western_Asia.Micronesia	7.4888E-3	0.0862	0	0	0	8836.3288	0	0	
Geography.indicators.Western_Asia.Melanesia	0.01	0.0997	0	0	0	7736.4822	0	0	
Geography.indicators.Southern_Asia.South_Eastern_Asia	0.9384	0.2404	1	0	1	1479.8052	1	1	
Geography.indicators.Southern_Asia.Southern_Europe	8.8466E-3	0.0936	0	0	0	6003.09	0	0	
Geography.indicators.Southern_Asia.Western_Europe	8.5175E-3	0.0919	0	0	0	9553.4654	0	0	
Geography.indicators.Southern_Asia.Eastern_Europe	0.9933	0.0816	1	1	1	5420.7944	1	1	
Geography.indicators.Southern_Asia.Northern_Africa	0.0744	0.2623	0	0	1	491.8684	0	0	
Geography.indicators.Southern_Asia.Eastern_Africa	9.1347E-3	0.0951	0	0	0	7453.5047	0	0	
Geography.indicators.Southern_Asia.Western_Africa	0.025	0.1562	0	0	0	2799.7418	0	0	
Geography.indicators.Southern_Asia.Southern_Africa	9.6696E-3	0.0979	0	0	0	9323.6084	0	0	
Geography.indicators.Southern_Asia.Micronesia	8.9289E-3	0.0941	0	0	0	5691.174	0	0	
Geography.indicators.Southern_Asia.Melanesia	7.5711E-3	0.0867	0	0	0	6166.6416	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Europe	0.9764	0.1517	1	1	1	1918.6448	1	1	
Geography.indicators.South_Eastern_Asia.Western_Europe	0.9971	0.054	1	1	1	3790.6916	1	1	
Geography.indicators.South_Eastern_Asia.Eastern_Europe	0.4426	0.4967	0	0	1	2847.7176	0	0	
Geography.indicators.South_Eastern_Asia.Northern_Africa	0.0262	0.1598	0	0	0	530.8558	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Africa	0.8152	0.3882	1	0	1	2564.6575	1	1	
Geography.indicators.South_Eastern_Asia.Western_Africa	0.0201	0.1403	0	0	0	4170.8515	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Africa	0.9997	0.017	1	1	1	6807.5083	1	1	
Geography.indicators.South_Eastern_Asia.Micronesia	0.8706	0.3356	1	0	1	349.3338	1	1	
Geography.indicators.South_Eastern_Asia.Melanesia	0.0222	0.1473	0	0	0	873.1277	0	0	
Geography.indicators.Southern_Europe.Western_Europe	0.0198	0.1391	0	0	0	4378.893	0	0	
Geography.indicators.Southern_Europe.Eastern_Europe	0.0357	0.1856	0	0	0	3177.2752	0	0	
Geography.indicators.Southern_Europe.Northern_Africa	0.0999	0.2999	0	0	1	473.7552	0	0	
Geography.indicators.Southern_Europe.Eastern_Africa	0.043	0.203	0	0	0	2060.639	0	0	
Geography.indicators.Southern_Europe.Western_Africa	0.7325	0.4427	1	0	1	1970.159	1	1	
Geography.indicators.Southern_Europe.Southern_Africa	0.0102	0.1005	0	0	0	6088.197	0	0	
Geography.indicators.Southern_Europe.Micronesia	0.0113	0.1058	0	0	0	7624.9459	0	0	
Geography.indicators.Southern_Europe.Melanesia	0.8364	0.37	1	0	1	557.3416	1	1	
Geography.indicators.Western_Europe.Eastern_Europe	0.9633	0.1881	1	1	1	5165.6933	1	1	
Geography.indicators.Western_Europe.Northern_Africa	0.0956	0.294	0	0	1	462.4114	0	0	
Geography.indicators.Western_Europe.Eastern_Africa	0.0101	0.0999	0	0	0	8833.2998	0	0	
Geography.indicators.Western_Europe.Western_Africa	0.0369	0.1884	0	0	0	2336.5853	0	0	
Geography.indicators.Western_Europe.Southern_Africa	9.217E-3	0.0956	0	0	0	7570.9608	0	0	
Geography.indicators.Western_Europe.Micronesia	0.0159	0.1252	0	0	0	2699.7439	0	0	
Geography.indicators.Western_Europe.Melanesia	0.0178	0.1321	0	0	0	2881.3709	0	0	
Geography.indicators.Eastern_Europe.Northern_Africa	0.0509	0.2199	0	0	1	545.2527	0	0	
Geography.indicators.Eastern_Europe.Eastern_Africa	0.0188	0.1358	0	0	0	5114.0544	0	0	
Geography.indicators.Eastern_Europe.Western_Africa	0.8659	0.3408	1	0	1	1709.4569	1	1	
Geography.indicators.Eastern_Europe.Southern_Africa	8.1471E-3	0.0899	0	0	0	8185.7836	0	0	
Geography.indicators.Eastern_Europe.Micronesia	9.7519E-3	0.0983	0	0	0	5150.5582	0	0	
Geography.indicators.Eastern_Europe.Melanesia	0.0269	0.1618	0	0	0	1509.6912	0	0	
Geography.indicators.Northern_Africa.Eastern_Africa	0.0982	0.2976	0	0	1	486.0181	0	0	
Geography.indicators.Northern_Africa.Western_Africa	0.1007	0.3009	0	0	1	467.3927	0	0	
Geography.indicators.Northern_Africa.Southern_Africa	0.091	0.2876	0	0	1	367.1009	0	0	
Geography.indicators.Northern_Africa.Micronesia	0.1071	0.3093	0	0	1	365.1039	0	0	
Geography.indicators.Northern_Africa.Melanesia	0.0983	0.2978	0	0	1	462.5774	0	0	
Geography.indicators.Eastern_Africa.Western_Africa	0.9921	0.0883	1	1	1	5165.6052	1	1	
Geography.indicators.Eastern_Africa.Southern_Africa	0.5942	0.4911	1	0	1	4245.6686	1	1	
Geography.indicators.Eastern_Africa.Micronesia	0.0159	0.125	0	0	0	2595.6287	0	0	
Geography.indicators.Eastern_Africa.Melanesia	0.0407	0.1977	0	0	0	1222.4957	0	0	
Geography.indicators.Western_Africa.Southern_Africa	0.0139	0.1169	0	0	0	6292.8496	0	0	
Geography.indicators.Western_Africa.Micronesia	9.5873E-3	0.0974	0	0	0	8092.1069	0	0	
Geography.indicators.Western_Africa.Melanesia	0.1687	0.3745	0	0	1	805.6837	0	0	
Geography.indicators.Southern_Africa.Micronesia	0.0158	0.1247	0	0	0	2723.7545	0	0	
Geography.indicators.Southern_Africa.Melanesia	9.6696E-3	0.0979	0	0	0	4388.1416	0	0	
Geography.indicators.Micronesia.Melanesia	0.012	0.109	0	0	0	5123.8798	0	0	
Geography.nonZeroRates	18.4793	1.1875	18	17	21	5364.7014	18	19	

