Subregion	Waypoints	MeanDist	MedianDist	Lineage	Pi
Western-Africa	none	4761.363854	5120.189901	Lin6	0.000148
Eastern-Europe	Cairo	4706.154297	5473.784489	Lin7	NA
South-Eastern-Asia	Cairo	10217.3553	10118.16548	Lin7	NA
Western-Asia	Cairo	4244.599609	4153.698801	Lin7	NA
Southern-Asia	Cairo	6175.123047	6515.690923	Lin7	NA
Western-Europe	Cairo & Istanbul	5537.207734	5589.206323	Lin7	NA
Southern-Europe	Cairo & Istanbul	6367.838716	6747.844424	Lin7	NA
Eastern-Africa	none	1686.777913	972.6751351	Lin7	4.77E-05
Central-Asia	Cairo	5698.068359	5721.566715	Lin7	NA
Eastern-Asia	Cairo	10136.39868	10258.82039	Lin7	NA
Southern-Africa	none	4166.915696	4081.041983	Lin7	NA
Western-Africa	none	4761.363854	5120.189901	Lin7	NA
