burnIn   <= 39350000,   maxState  = 393500000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Central_Asia.Eastern_Europe	0.9291	0.9497	0.6321	2.723E-5	2.815	3146.331	2.723E-5	0.6321	
Geography.rates.Central_Asia.Northern_Africa	0.9371	0.9524	0.6352	4.1145E-5	2.864	2957.3085	5.5201E-4	0.6357	
Geography.rates.Central_Asia.Eastern_Africa	0.9577	0.9752	0.6554	7.5282E-5	2.8983	3533.2258	7.5282E-5	0.6554	
Geography.rates.Central_Asia.Western_Africa	0.9434	0.964	0.6411	9.7669E-6	2.8825	3310.8263	9.7669E-6	0.6411	
Geography.rates.Central_Asia.Southern_Africa	0.9248	0.9534	0.6229	5.4673E-5	2.8034	3371.5567	5.3735E-4	0.6233	
Geography.rates.Central_Asia.Micronesia	0.9255	0.957	0.6217	6.5388E-5	2.8396	3295.6221	6.5388E-5	0.6217	
Geography.rates.Central_Asia.Melanesia	0.9194	0.9514	0.6214	1.3662E-4	2.8121	3657.7882	1.861E-4	0.6214	
Geography.rates.Western_Asia.Southern_Asia	0.9884	1.0002	0.6741	1.1052E-4	2.9887	3676.928	1.1052E-4	0.6741	
Geography.rates.Western_Asia.South_Eastern_Asia	0.9659	0.9901	0.6557	2.1909E-5	2.9473	3171.4926	2.9346E-5	0.6557	
Geography.rates.Western_Asia.Southern_Europe	0.9672	0.969	0.6722	2.2185E-4	2.898	3578.1173	4.2823E-4	0.6723	
Geography.rates.Western_Asia.Western_Europe	0.9439	0.9559	0.6471	9.7945E-5	2.8411	3293.8505	9.7945E-5	0.6471	
Geography.rates.Western_Asia.Eastern_Europe	0.9191	0.9516	0.6266	3.9762E-5	2.7883	3002.2254	3.9762E-5	0.6266	
Geography.rates.Western_Asia.Northern_Africa	0.9094	0.9408	0.6088	4.8336E-5	2.7827	3395.8194	4.8336E-5	0.6088	
Geography.rates.Western_Asia.Eastern_Africa	0.9544	0.9669	0.6566	5.7453E-5	2.8828	3486.6624	5.7453E-5	0.6566	
Geography.rates.Western_Asia.Western_Africa	0.935	0.9581	0.6338	1.8587E-4	2.8565	3431.5905	1.8587E-4	0.6338	
Geography.rates.Western_Asia.Southern_Africa	0.9548	0.9674	0.6554	1.2403E-4	2.8758	3083.7318	1.2403E-4	0.6554	
Geography.rates.Western_Asia.Micronesia	0.9256	0.9537	0.623	3.0171E-4	2.8308	3579.5996	4.8661E-4	0.6231	
Geography.rates.Western_Asia.Melanesia	0.927	0.9569	0.6285	4.2694E-4	2.8309	3568.5813	1.3223E-3	0.6292	
Geography.rates.Southern_Asia.South_Eastern_Asia	1.687	0.804	1.5415	0.3592	3.2473	9767.4184	0.8572	1.7809	
Geography.rates.Southern_Asia.Southern_Europe	0.9596	0.9677	0.6537	3.0206E-4	2.91	3861.4356	3.0206E-4	0.6537	
Geography.rates.Southern_Asia.Western_Europe	0.9546	0.9648	0.6577	1.7702E-4	2.8773	2910.9327	1.4101E-3	0.6583	
Geography.rates.Southern_Asia.Eastern_Europe	0.94	0.9654	0.6371	1.4942E-4	2.8903	2830.119	1.4942E-4	0.6371	
Geography.rates.Southern_Asia.Northern_Africa	0.9674	0.9981	0.6487	1.8897E-4	2.964	2883.3629	3.9646E-4	0.6488	
Geography.rates.Southern_Asia.Eastern_Africa	3.1041	1.2515	2.9127	0.9826	5.5379	9961.2364	1.8543	3.3577	
Geography.rates.Southern_Asia.Western_Africa	0.8018	0.6036	0.6607	8.5461E-3	1.8996	5558.2592	0.2241	0.7705	
Geography.rates.Southern_Asia.Southern_Africa	0.9464	0.9793	0.6401	1.1656E-4	2.8931	3122.6462	7.0006E-5	0.6401	
Geography.rates.Southern_Asia.Micronesia	0.9275	0.9531	0.6286	1.1813E-4	2.8083	3145.2054	1.1813E-4	0.6286	
Geography.rates.Southern_Asia.Melanesia	0.9537	0.9799	0.6481	6.3467E-5	2.9172	3292.3742	6.3467E-5	0.6481	
Geography.rates.South_Eastern_Asia.Southern_Europe	1.021	1.0025	0.7174	2.0085E-5	3.0234	3582.4224	2.0085E-5	0.7174	
Geography.rates.South_Eastern_Asia.Western_Europe	0.968	0.9872	0.6577	3.1101E-5	2.9497	3126.9624	3.1101E-5	0.6577	
Geography.rates.South_Eastern_Asia.Eastern_Europe	0.9428	0.9465	0.6489	1.8851E-4	2.8549	3191.6816	1.098E-3	0.6496	
Geography.rates.South_Eastern_Asia.Northern_Africa	0.9616	0.9792	0.6563	1.467E-5	2.9048	3246.787	6.6947E-5	0.6564	
Geography.rates.South_Eastern_Asia.Eastern_Africa	0.9986	0.9967	0.6912	3.0132E-6	2.9951	3709.0052	3.0132E-6	0.6912	
Geography.rates.South_Eastern_Asia.Western_Africa	0.959	0.9546	0.6741	2.2664E-5	2.8487	3339.6843	2.2664E-5	0.6741	
Geography.rates.South_Eastern_Asia.Southern_Africa	0.9317	0.972	0.6248	1.6502E-4	2.8688	3184.4149	2.9593E-4	0.6249	
Geography.rates.South_Eastern_Asia.Micronesia	0.9474	0.9739	0.6432	1.3414E-4	2.8807	3587.2861	8.1261E-4	0.6439	
Geography.rates.South_Eastern_Asia.Melanesia	0.9594	0.9793	0.6532	2.4635E-4	2.9233	2680.0039	2.4635E-4	0.6532	
Geography.rates.Southern_Europe.Western_Europe	0.9612	0.9816	0.6579	1.4526E-4	2.935	3707.8742	2.7998E-4	0.658	
Geography.rates.Southern_Europe.Eastern_Europe	0.9637	0.9674	0.6658	1.6321E-4	2.9079	3313.9066	1.0273E-3	0.6665	
Geography.rates.Southern_Europe.Northern_Africa	0.9252	0.9681	0.6181	4.2545E-4	2.8559	3526.3806	9.4517E-4	0.6184	
Geography.rates.Southern_Europe.Eastern_Africa	0.9659	0.9794	0.6665	2.454E-4	2.9373	3481.9972	2.454E-4	0.6665	
Geography.rates.Southern_Europe.Western_Africa	1.1452	0.8596	0.9427	0.0139	2.8146	6382.3976	0.213	1.072	
Geography.rates.Southern_Europe.Southern_Africa	0.9633	0.984	0.6574	9.4893E-6	2.9237	3527.7759	9.4893E-6	0.6574	
Geography.rates.Southern_Europe.Micronesia	0.9415	0.9703	0.6431	4.2008E-4	2.8748	3158.212	4.2008E-4	0.6431	
Geography.rates.Southern_Europe.Melanesia	0.9812	0.9726	0.6854	2.1409E-5	2.9094	3248.9445	2.1409E-5	0.6854	
Geography.rates.Western_Europe.Eastern_Europe	0.9161	0.9334	0.624	6.8312E-5	2.7926	2745.7953	4.3702E-5	0.624	
Geography.rates.Western_Europe.Northern_Africa	0.9248	0.9472	0.6272	3.3424E-5	2.8246	3139.4863	3.3424E-5	0.6272	
Geography.rates.Western_Europe.Eastern_Africa	0.9575	0.9587	0.6649	9.1012E-5	2.8711	4022.5549	1.2903E-4	0.6649	
Geography.rates.Western_Europe.Western_Africa	0.977	0.9788	0.6704	2.4133E-4	2.9558	3732.8182	2.2515E-3	0.6718	
Geography.rates.Western_Europe.Southern_Africa	0.9357	0.952	0.6394	9.1851E-4	2.8424	3088.9261	2.753E-3	0.6407	
Geography.rates.Western_Europe.Micronesia	0.9211	0.9449	0.6251	1.317E-5	2.8243	3576.7166	1.317E-5	0.6251	
Geography.rates.Western_Europe.Melanesia	0.9577	0.964	0.6613	7.8734E-5	2.8785	3427.0023	7.8734E-5	0.6613	
Geography.rates.Eastern_Europe.Northern_Africa	0.9315	0.9423	0.6416	6.1927E-5	2.792	3454.8747	6.1927E-5	0.6416	
Geography.rates.Eastern_Europe.Eastern_Africa	0.9263	0.9555	0.628	9.1063E-5	2.8315	3415.315	3.8452E-4	0.6283	
Geography.rates.Eastern_Europe.Western_Africa	0.9488	0.9734	0.6426	3.3222E-5	2.9056	3045.7073	3.3222E-5	0.6426	
Geography.rates.Eastern_Europe.Southern_Africa	0.9209	0.9629	0.6174	1.9624E-5	2.8349	2974.8176	1.9624E-5	0.6174	
Geography.rates.Eastern_Europe.Micronesia	0.9263	0.9423	0.6336	1.3106E-4	2.8201	3298.5087	2.7525E-4	0.6337	
Geography.rates.Eastern_Europe.Melanesia	0.9085	0.9482	0.6051	2.5137E-4	2.8156	2589.9847	2.7257E-4	0.6051	
Geography.rates.Northern_Africa.Eastern_Africa	0.9531	0.9879	0.6401	1.8254E-4	2.9516	3005.8466	1.8254E-4	0.6401	
Geography.rates.Northern_Africa.Western_Africa	0.9324	0.9647	0.635	1.1444E-4	2.8406	3540.406	1.615E-4	0.635	
Geography.rates.Northern_Africa.Southern_Africa	0.906	0.9409	0.6058	1.7489E-4	2.8099	3609.3694	4.8901E-4	0.606	
Geography.rates.Northern_Africa.Micronesia	0.9525	0.9794	0.6458	5.0697E-5	2.9233	3562.6035	5.0697E-5	0.6458	
Geography.rates.Northern_Africa.Melanesia	0.9482	0.9726	0.6422	1.0952E-4	2.8769	3580.9651	1.0952E-4	0.6422	
Geography.rates.Eastern_Africa.Western_Africa	1.0018	1.0089	0.6936	1.4886E-4	3.0033	3578.5533	1.4886E-4	0.6936	
Geography.rates.Eastern_Africa.Southern_Africa	0.9625	0.9778	0.6539	4.6043E-4	2.9503	3335.5457	4.6043E-4	0.6539	
Geography.rates.Eastern_Africa.Micronesia	0.9733	0.9623	0.6789	3.2769E-4	2.8792	3483.4988	1.113E-3	0.6796	
Geography.rates.Eastern_Africa.Melanesia	0.9415	0.9653	0.6316	7.4848E-6	2.8697	3631.8238	7.4848E-6	0.6316	
Geography.rates.Western_Africa.Southern_Africa	0.9683	0.9716	0.6634	1.0748E-4	2.895	3241.5295	1.5594E-4	0.6634	
Geography.rates.Western_Africa.Micronesia	0.9561	0.9809	0.6517	1.5736E-4	2.8998	3034.974	1.3995E-4	0.6517	
Geography.rates.Western_Africa.Melanesia	0.9674	0.9724	0.6642	3.2824E-4	2.9189	3727.5806	4.9599E-4	0.6642	
Geography.rates.Southern_Africa.Micronesia	0.9545	0.9719	0.6512	6.1813E-6	2.8911	3599.3214	6.1813E-6	0.6512	
Geography.rates.Southern_Africa.Melanesia	0.947	0.9552	0.6518	3.236E-5	2.8818	2979.9824	2.3695E-4	0.6518	
Geography.rates.Micronesia.Melanesia	0.9261	0.9328	0.6408	1.5912E-4	2.7601	3527.8254	2.9345E-4	0.6409	
Geography.indicators.Eastern_Asia.Central_Asia	0.1096	0.3123	0	0	1	2897.2589	0	0	
Geography.indicators.Eastern_Asia.Western_Asia	0.103	0.3039	0	0	1	2822.2467	0	0	
Geography.indicators.Eastern_Asia.Southern_Asia	0.0962	0.2949	0	0	1	5891.6718	0	0	
Geography.indicators.Eastern_Asia.South_Eastern_Asia	0.9992	0.0281	1	1	1	17141.9209	1	1	
Geography.indicators.Eastern_Asia.Southern_Europe	0.0315	0.1746	0	0	0	12727.4175	0	0	
Geography.indicators.Eastern_Asia.Western_Europe	0.1157	0.3198	0	0	1	2616.9703	0	0	
Geography.indicators.Eastern_Asia.Eastern_Europe	0.1054	0.3071	0	0	1	2460.7838	0	0	
Geography.indicators.Eastern_Asia.Northern_Africa	0.1067	0.3088	0	0	1	2512.6081	0	0	
Geography.indicators.Eastern_Asia.Eastern_Africa	0.9364	0.244	1	0	1	5252.1424	1	1	
Geography.indicators.Eastern_Asia.Western_Africa	0.0339	0.181	0	0	0	12955.5456	0	0	
Geography.indicators.Eastern_Asia.Southern_Africa	0.1163	0.3206	0	0	1	2354.0606	0	0	
Geography.indicators.Eastern_Asia.Micronesia	0.1037	0.3049	0	0	1	2568.3116	0	0	
Geography.indicators.Eastern_Asia.Melanesia	0.1069	0.309	0	0	1	2536.5282	0	0	
Geography.indicators.Central_Asia.Western_Asia	0.1648	0.371	0	0	1	2097.2433	0	0	
Geography.indicators.Central_Asia.Southern_Asia	0.0448	0.2068	0	0	0	2662.5928	0	0	
Geography.indicators.Central_Asia.South_Eastern_Asia	0.0751	0.2635	0	0	1	2666.9748	0	0	
Geography.indicators.Central_Asia.Southern_Europe	0.1118	0.3151	0	0	1	2833.2359	0	0	
Geography.indicators.Central_Asia.Western_Europe	0.1708	0.3764	0	0	1	2033.3341	0	0	
Geography.indicators.Central_Asia.Eastern_Europe	0.157	0.3638	0	0	1	2030.7832	0	0	
Geography.indicators.Central_Asia.Northern_Africa	0.1561	0.363	0	0	1	2200.8233	0	0	
Geography.indicators.Central_Asia.Eastern_Africa	0.0747	0.2629	0	0	1	2665.7013	0	0	
Geography.indicators.Central_Asia.Western_Africa	0.1044	0.3058	0	0	1	2741.9586	0	0	
Geography.indicators.Central_Asia.Southern_Africa	0.1724	0.3777	0	0	1	1974.4014	0	0	
Geography.indicators.Central_Asia.Micronesia	0.159	0.3657	0	0	1	2044.998	0	0	
Geography.indicators.Central_Asia.Melanesia	0.164	0.3703	0	0	1	2066.3817	0	0	
Geography.indicators.Western_Asia.Southern_Asia	0.0441	0.2054	0	0	0	2134.364	0	0	
Geography.indicators.Western_Asia.South_Eastern_Asia	0.0777	0.2677	0	0	1	2564.8921	0	0	
Geography.indicators.Western_Asia.Southern_Europe	0.1054	0.307	0	0	1	2803.8707	0	0	
Geography.indicators.Western_Asia.Western_Europe	0.165	0.3712	0	0	1	2036.7555	0	0	
Geography.indicators.Western_Asia.Eastern_Europe	0.1805	0.3846	0	0	1	1847.0023	0	0	
Geography.indicators.Western_Asia.Northern_Africa	0.1672	0.3732	0	0	1	1856.6336	0	0	
Geography.indicators.Western_Asia.Eastern_Africa	0.0711	0.257	0	0	1	2911.5479	0	0	
Geography.indicators.Western_Asia.Western_Africa	0.106	0.3078	0	0	1	2603.1699	0	0	
Geography.indicators.Western_Asia.Southern_Africa	0.1663	0.3724	0	0	1	1825.7702	0	0	
Geography.indicators.Western_Asia.Micronesia	0.167	0.373	0	0	1	1564.6341	0	0	
Geography.indicators.Western_Asia.Melanesia	0.1531	0.3601	0	0	1	1996.7965	0	0	
Geography.indicators.Southern_Asia.South_Eastern_Asia	0.9999	0.0106	1	1	1	17710.2511	1	1	
Geography.indicators.Southern_Asia.Southern_Europe	0.0712	0.2571	0	0	1	3850.1428	0	0	
Geography.indicators.Southern_Asia.Western_Europe	0.0416	0.1998	0	0	0	2479.9142	0	0	
Geography.indicators.Southern_Asia.Eastern_Europe	0.0421	0.2008	0	0	0	2909.9209	0	0	
Geography.indicators.Southern_Asia.Northern_Africa	0.0525	0.2231	0	0	1	2392.2599	0	0	
Geography.indicators.Southern_Asia.Eastern_Africa	1	0	0	0	0	10000	0	0	
Geography.indicators.Southern_Asia.Western_Africa	0.8773	0.3281	1	0	1	2213.4924	1	1	
Geography.indicators.Southern_Asia.Southern_Africa	0.0454	0.2083	0	0	0	2495.9289	0	0	
Geography.indicators.Southern_Asia.Micronesia	0.049	0.2159	0	0	0	2534.0746	0	0	
Geography.indicators.Southern_Asia.Melanesia	0.0422	0.2011	0	0	0	2571.2374	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Europe	0.0332	0.1792	0	0	0	3787.2388	0	0	
Geography.indicators.South_Eastern_Asia.Western_Europe	0.0651	0.2467	0	0	1	2541.0108	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Europe	0.0771	0.2668	0	0	1	2638.0754	0	0	
Geography.indicators.South_Eastern_Asia.Northern_Africa	0.0674	0.2507	0	0	1	2674.3153	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Africa	0.0264	0.1602	0	0	0	12056.0217	0	0	
Geography.indicators.South_Eastern_Asia.Western_Africa	0.1183	0.323	0	0	1	2523.0702	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Africa	0.0815	0.2736	0	0	1	2490.8831	0	0	
Geography.indicators.South_Eastern_Asia.Micronesia	0.0709	0.2567	0	0	1	3108.1241	0	0	
Geography.indicators.South_Eastern_Asia.Melanesia	0.0823	0.2749	0	0	1	2176.2398	0	0	
Geography.indicators.Southern_Europe.Western_Europe	0.1052	0.3068	0	0	1	3045.7168	0	0	
Geography.indicators.Southern_Europe.Eastern_Europe	0.094	0.2919	0	0	1	2930.784	0	0	
Geography.indicators.Southern_Europe.Northern_Africa	0.0999	0.2999	0	0	1	3083.1875	0	0	
Geography.indicators.Southern_Europe.Eastern_Africa	0.0265	0.1606	0	0	0	9930.0255	0	0	
Geography.indicators.Southern_Europe.Western_Africa	0.9638	0.1869	1	1	1	3210.2965	1	1	
Geography.indicators.Southern_Europe.Southern_Africa	0.1033	0.3044	0	0	1	2832.9625	0	0	
Geography.indicators.Southern_Europe.Micronesia	0.1114	0.3147	0	0	1	2402.5455	0	0	
Geography.indicators.Southern_Europe.Melanesia	0.109	0.3116	0	0	1	3001.2418	0	0	
Geography.indicators.Western_Europe.Eastern_Europe	0.1658	0.3719	0	0	1	2224.2121	0	0	
Geography.indicators.Western_Europe.Northern_Africa	0.1554	0.3623	0	0	1	2005.0164	0	0	
Geography.indicators.Western_Europe.Eastern_Africa	0.0758	0.2647	0	0	1	2370.9025	0	0	
Geography.indicators.Western_Europe.Western_Africa	0.0914	0.2882	0	0	1	2820.0077	0	0	
Geography.indicators.Western_Europe.Southern_Africa	0.1611	0.3676	0	0	1	2114.8867	0	0	
Geography.indicators.Western_Europe.Micronesia	0.1671	0.373	0	0	1	1735.8203	0	0	
Geography.indicators.Western_Europe.Melanesia	0.1716	0.377	0	0	1	1877.579	0	0	
Geography.indicators.Eastern_Europe.Northern_Africa	0.1531	0.3601	0	0	1	1988.5191	0	0	
Geography.indicators.Eastern_Europe.Eastern_Africa	0.073	0.2602	0	0	1	2570.5556	0	0	
Geography.indicators.Eastern_Europe.Western_Africa	0.1011	0.3015	0	0	1	2307.928	0	0	
Geography.indicators.Eastern_Europe.Southern_Africa	0.1669	0.3729	0	0	1	1849.8491	0	0	
Geography.indicators.Eastern_Europe.Micronesia	0.1608	0.3674	0	0	1	2110.5632	0	0	
Geography.indicators.Eastern_Europe.Melanesia	0.1572	0.364	0	0	1	2136.4014	0	0	
Geography.indicators.Northern_Africa.Eastern_Africa	0.0753	0.2638	0	0	1	2646.9009	0	0	
Geography.indicators.Northern_Africa.Western_Africa	0.1134	0.3171	0	0	1	2149.1698	0	0	
Geography.indicators.Northern_Africa.Southern_Africa	0.1675	0.3734	0	0	1	1909.2692	0	0	
Geography.indicators.Northern_Africa.Micronesia	0.1712	0.3767	0	0	1	1968.706	0	0	
Geography.indicators.Northern_Africa.Melanesia	0.1595	0.3661	0	0	1	1987.2898	0	0	
Geography.indicators.Eastern_Africa.Western_Africa	0.0387	0.1928	0	0	0	5246.843	0	0	
Geography.indicators.Eastern_Africa.Southern_Africa	0.0699	0.255	0	0	1	2832.7757	0	0	
Geography.indicators.Eastern_Africa.Micronesia	0.0681	0.2518	0	0	1	3207.2832	0	0	
Geography.indicators.Eastern_Africa.Melanesia	0.0803	0.2717	0	0	1	2489.9637	0	0	
Geography.indicators.Western_Africa.Southern_Africa	0.0902	0.2865	0	0	1	2916.7321	0	0	
Geography.indicators.Western_Africa.Micronesia	0.1038	0.305	0	0	1	2846.0595	0	0	
Geography.indicators.Western_Africa.Melanesia	0.1035	0.3046	0	0	1	2456.7688	0	0	
Geography.indicators.Southern_Africa.Micronesia	0.1598	0.3664	0	0	1	2078.2223	0	0	
Geography.indicators.Southern_Africa.Melanesia	0.1671	0.373	0	0	1	2179.6224	0	0	
Geography.indicators.Micronesia.Melanesia	0.1685	0.3743	0	0	1	1679.8449	0	0	
Geography.nonZeroRates	14.9166	0.8948	15	14	17	20467.3998	14	15	

