burnIn   <= 39350000,   maxState  = 393500000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Asia.Central_Asia	0.9388	0.9484	0.6478	2.3391E-4	2.8198	3598.4589	4.2667E-4	0.648	
Geography.rates.Eastern_Asia.Western_Asia	0.962	0.9783	0.6547	8.821E-4	2.9271	3275.4675	2.2139E-3	0.6556	
Geography.rates.Eastern_Asia.Southern_Asia	0.9565	0.9608	0.67	6.1074E-5	2.8427	3218.7454	6.1074E-5	0.67	
Geography.rates.Eastern_Asia.South_Eastern_Asia	1.8737	1.009	1.6909	0.284	3.8528	10025.1713	0.7946	1.9528	
Geography.rates.Eastern_Asia.Southern_Europe	0.9873	0.9887	0.6803	5.3682E-4	2.984	3540.9882	6.0047E-4	0.6803	
Geography.rates.Eastern_Asia.Western_Europe	0.9401	0.9502	0.6425	3.2898E-5	2.8157	3159.8238	3.2898E-5	0.6425	
Geography.rates.Eastern_Asia.Eastern_Europe	0.9267	0.9609	0.6253	2.298E-6	2.8444	3172.7952	2.298E-6	0.6253	
Geography.rates.Eastern_Asia.Northern_Africa	0.984	0.9869	0.6766	1.2744E-4	2.9273	3541.5512	5.9411E-4	0.677	
Geography.rates.Eastern_Asia.Eastern_Africa	1.107	0.8048	0.9235	3.3258E-3	2.6759	5603.9136	0.2614	1.0935	
Geography.rates.Eastern_Asia.Western_Africa	0.9865	0.9856	0.6895	1.541E-4	2.9493	3570.2097	1.541E-4	0.6895	
Geography.rates.Eastern_Asia.Southern_Africa	0.9281	0.9677	0.6191	5.9094E-4	2.8527	3120.6804	1.3741E-3	0.6195	
Geography.rates.Eastern_Asia.Micronesia	0.9733	0.9952	0.6638	4.0128E-4	2.958	3680.6776	4.0128E-4	0.6638	
Geography.rates.Eastern_Asia.Melanesia	0.9511	0.959	0.6458	4.8846E-4	2.9095	3265.2744	5.6439E-4	0.646	
Geography.rates.Central_Asia.Western_Asia	0.9228	0.9524	0.6234	2.0407E-4	2.8488	3328.4043	7.9779E-4	0.6238	
Geography.rates.Central_Asia.Southern_Asia	0.9495	0.9828	0.6464	1.8403E-4	2.9077	3034.6456	5.9638E-4	0.6466	
Geography.rates.Central_Asia.South_Eastern_Asia	0.9342	0.9493	0.6363	1.3593E-4	2.8244	3485.8762	1.7315E-4	0.6363	
Geography.rates.Central_Asia.Southern_Europe	0.9799	0.9668	0.6771	2.6778E-4	2.9178	3369.1203	1.9445E-3	0.6786	
Geography.rates.Central_Asia.Western_Europe	0.8975	0.9445	0.5985	3.6536E-5	2.7908	3107.1303	3.6536E-5	0.5985	
