	Bayesian Skyline: 161101_lin5_UN_BSP.log			
Time	Mean	Median	Upper	Lower
0.0	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.9025927155920321E-6	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.8051854311840643E-6	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
5.707778146776096E-6	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
7.6103708623681285E-6	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
9.51296357796016E-6	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.1415556293552193E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.3318149009144225E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.5220741724736257E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.7123334440328288E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
1.9025927155920318E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
2.092851987151235E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
2.283111258710438E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
2.473370530269641E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
2.663629801828844E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
2.853889073388047E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.04414834494725E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.234407616506453E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.424666888065656E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.614926159624859E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.805185431184062E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
3.995444702743265E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
4.185703974302468E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
4.3759632458616714E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
4.5662225174208744E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
4.7564817889800775E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
4.9467410605392805E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
5.1370003320984836E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
5.3272596036576866E-5	0.008626061169621942	0.00509782719513202	0.03541970953609323	0.0014742583339887449
5.5175188752168896E-5	0.008625237713974198	0.005093420431960633	0.03541970953609323	0.0014742583339887449
5.707778146776093E-5	0.008623573735697212	0.005091885648307021	0.03541970953609323	0.0014742583339887449
5.898037418335296E-5	0.00861407513381741	0.0050795202693728145	0.03541970953609323	0.0014597601906804255
6.088296689894499E-5	0.00855593165203975	0.005039813307302975	0.03531658352290583	0.001416009002156981
6.278555961453702E-5	0.008314880634806367	0.0049424183345608596	0.034641999409804794	0.0012635479756006678
6.468815233012905E-5	0.007885458491291648	0.0046562852235268746	0.033092135178642505	0.001006463999527575
6.659074504572108E-5	0.007057683965556763	0.004115234184210641	0.029738301440265905	7.660236448075809E-4
6.849333776131311E-5	0.006058865781907548	0.0035047253425706283	0.026317426853813643	6.316618040505207E-4
7.039593047690514E-5	0.005043204403098319	0.002943251435144103	0.02219837169284885	5.47483458553317E-4
7.229852319249717E-5	0.004135978159406858	0.002494263623638717	0.017337005197158185	4.924622775350218E-4
7.42011159080892E-5	0.003608610288761301	0.002244470987124518	0.01463539309275304	4.660791164564602E-4
7.610370862368123E-5	0.0032766889166360963	0.002114063214514123	0.012692426187782721	4.497868168609852E-4
7.800630133927326E-5	0.0031446901197169893	0.002073911834535121	0.012116130172476439	4.440725808345755E-4
7.990889405486529E-5	0.0030952589809124013	0.0020458958927169557	0.011919358653824761	4.2958006413854565E-4
8.181148677045732E-5	0.0030400876974388947	0.002007591006930333	0.011800440048790259	3.999253335223871E-4
8.371407948604935E-5	0.0029237128569751586	0.0018984332239923786	0.011701360012034687	2.5711867777298257E-4
8.561667220164138E-5	0.0026362718111439623	0.0016597436315223782	0.011011272988027426	9.604809110354712E-5
8.751926491723341E-5	0.002156942886968097	0.0012196928221976757	0.010103416505058464	4.866913736518241E-5
8.942185763282544E-5	0.0015608177772108733	5.406423050973426E-4	0.008805159740372649	3.181665104820981E-5
9.132445034841747E-5	8.995425327431367E-4	2.0105195237821906E-4	0.005899169030005032	2.5309916396346195E-5
9.32270430640095E-5	4.725013879011951E-4	1.692873669277657E-4	0.0034624989506868353	2.7147365121974626E-5
9.512963577960154E-5	2.8126975317892744E-4	1.717957390390296E-4	0.0011317042793720208	3.110242784821069E-5
9.703222849519357E-5	2.3762957653210702E-4	1.8541003041521568E-4	6.468693915121891E-4	4.7755477168764434E-5
9.89348212107856E-5	2.321320281811559E-4	1.9439041673787063E-4	5.961208201376776E-4	7.291863439817011E-5
1.0083741392637763E-4	2.3415792754799677E-4	1.9818746952746083E-4	5.87452699997373E-4	8.291124786270052E-5
1.0274000664196966E-4	2.3551993378777877E-4	1.9958412135471482E-4	5.898628940748613E-4	8.582302764823695E-5
1.0464259935756169E-4	2.3572222493187603E-4	1.9967988779273597E-4	5.885374895510184E-4	8.643831456798635E-5
1.0654519207315372E-4	2.360259479456963E-4	1.997075765159383E-4	5.940408907983226E-4	8.644906252063484E-5
1.0844778478874575E-4	2.3608676923395566E-4	1.997185706089677E-4	5.940408907983226E-4	8.643831456798635E-5
1.1035037750433778E-4	2.360934559076208E-4	1.9974089512708745E-4	5.940408907983226E-4	8.643831456798635E-5
1.1225297021992981E-4	2.3608755577838713E-4	1.9975660379207479E-4	5.940408907983226E-4	8.643831456798635E-5
1.1415556293552184E-4	2.3587998098478013E-4	1.9967988779273597E-4	5.898628940748613E-4	8.626240164557808E-5
1.1605815565111387E-4	2.359726400055961E-4	1.9973973284402285E-4	5.898628940748613E-4	8.57912656654702E-5
1.179607483667059E-4	2.361738204780251E-4	1.998679644779643E-4	5.961208201376776E-4	8.545927324351477E-5
1.1986334108229793E-4	2.3648578152003771E-4	1.997523072624481E-4	5.961208201376776E-4	8.412094191950501E-5
1.2176593379788996E-4	2.351462359083854E-4	1.9843751270717564E-4	5.996179626822308E-4	7.921532985198892E-5
1.23668526513482E-4	2.3198218991362258E-4	1.9431458135184447E-4	5.977990725915966E-4	7.5594536217426E-5
1.2557111922907404E-4	2.294959658125291E-4	1.910035544779843E-4	6.147541291320445E-4	7.244264852179536E-5
1.2747371194466608E-4	2.2667120562601043E-4	1.8717641909837422E-4	6.087667050535103E-4	7.114192591016998E-5
1.2937630466025812E-4	2.2335610509006723E-4	1.838704839901669E-4	6.17059630467963E-4	6.886421467347748E-5
1.3127889737585017E-4	2.2133248571702395E-4	1.8182162005884493E-4	6.128398336943358E-4	6.785988004218594E-5
