burnIn   <= 54003000,   maxState  = 540030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Southern_Asia.Melanesia	0.9192	0.9668	0.6027	1.2394E-4	2.8772	6893.0329	4.0164E-4	0.6028	
Geography.rates.South_Eastern_Asia.Southern_Europe	0.9751	0.9873	0.6641	8.502E-5	2.9433	8123.3071	1.2336E-4	0.6642	
Geography.rates.South_Eastern_Asia.Western_Europe	0.9617	0.9789	0.6552	3.8196E-5	2.9284	8359.4303	3.8196E-5	0.6552	
Geography.rates.South_Eastern_Asia.Eastern_Europe	0.9356	0.8619	0.7125	4.9386E-5	2.6104	7078.322	2.3338E-4	0.7127	
Geography.rates.South_Eastern_Asia.Northern_Africa	0.9415	0.9698	0.6272	1.2416E-4	2.8971	7440.2011	1.2416E-4	0.6272	
Geography.rates.South_Eastern_Asia.Eastern_Africa	0.8632	0.6944	0.7123	2.1026E-4	2.0832	5681.4927	0.2976	0.8876	
Geography.rates.South_Eastern_Asia.Western_Africa	0.9783	0.9831	0.6734	1.4022E-4	2.9435	8316.0578	3.6702E-4	0.6734	
Geography.rates.South_Eastern_Asia.Southern_Africa	0.9747	0.9863	0.6662	8.3957E-6	2.9325	7857.4009	8.3957E-6	0.6662	
Geography.rates.South_Eastern_Asia.Micronesia	0.9387	0.9754	0.6259	4.7816E-5	2.8848	6417.5071	7.8605E-5	0.6259	
Geography.rates.South_Eastern_Asia.Melanesia	0.9336	0.9838	0.6144	6.7166E-5	2.9	5985.8677	1.1296E-4	0.6144	
Geography.rates.Southern_Europe.Western_Europe	0.995	0.9985	0.6855	1.324E-4	2.9971	8587.3612	1.7721E-4	0.6856	
Geography.rates.Southern_Europe.Eastern_Europe	0.9713	0.9804	0.6634	1.7537E-4	2.918	8826.4836	3.3155E-4	0.6634	
Geography.rates.Southern_Europe.Northern_Africa	0.947	0.9717	0.6377	1.2088E-4	2.9029	6393.3293	1.2088E-4	0.6377	
