statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.South_Eastern_Asia.Southern_Africa	0.848	0.375	0.789	0.2274	1.584	11490.27	0.4687	0.9156
Geography.rates.South_Eastern_Asia.Micronesia	0.327	0.2303	0.2793	0.0309	0.7295	10222.9664	0.1081	0.3259
Geography.rates.South_Eastern_Asia.Melanesia	0.9762	0.9824	0.6702	1.19E-04	2.9165	9148.0926	7.28E-04	0.6706
Geography.rates.Southern_Europe.Western_Europe	0.9841	1.0048	0.6738	1.77E-04	2.9853	9254.4293	1.77E-04	0.6738
Geography.rates.Southern_Europe.Eastern_Europe	0.9905	1.0021	0.6769	1.98E-04	3.0077	9225.7279	1.98E-04	0.6769
Geography.rates.Southern_Europe.Eastern_Africa	0.89	0.353	0.8358	0.2982	1.5916	11893.1069	0.5338	0.9565
Geography.rates.Southern_Europe.Western_Africa	0.9119	0.9783	0.5808	3.83E-05	2.8483	9294.8221	2.27E-04	0.5808
Geography.rates.Southern_Europe.Southern_Africa	0.9827	0.9923	0.6737	2.25E-04	2.9393	8316.5106	1.06E-03	0.674
Geography.rates.Southern_Europe.Micronesia	0.9917	0.987	0.694	1.79E-05	2.9701	7860.6051	1.79E-05	0.694
Geography.rates.Southern_Europe.Melanesia	0.4958	0.5654	0.3362	1.07E-03	1.4615	3264.0923	0.042	0.3559
Geography.rates.Western_Europe.Eastern_Europe	0.9687	0.4512	0.8937	0.2166	1.863	12253.9694	0.521	1.0492
Geography.rates.Western_Europe.Eastern_Africa	0.9754	0.9866	0.677	5.09E-07	2.9522	9324.5951	5.09E-07	0.677
Geography.rates.Western_Europe.Western_Africa	0.994	1.0043	0.6849	3.00E-05	3.0018	9189.502	3.62E-04	0.6851
Geography.rates.Western_Europe.Southern_Africa	0.9915	0.9941	0.6877	7.24E-05	2.9522	9463.108	6.29E-04	0.6881
Geography.rates.Western_Europe.Micronesia	0.9857	0.982	0.6845	1.72E-04	2.9708	8835.9164	4.89E-05	0.6845
Geography.rates.Western_Europe.Melanesia	0.9982	0.9988	0.6956	1.46E-04	2.9859	9432.0428	2.82E-04	0.6957
Geography.rates.Eastern_Europe.Eastern_Africa	1.6319	0.5495	1.5626	0.6715	2.7329	11815.0087	1.1041	1.7874
Geography.rates.Eastern_Europe.Western_Africa	0.827	0.9005	0.5116	2.41E-05	2.6529	10060.6617	2.41E-05	0.5116
Geography.rates.Eastern_Europe.Southern_Africa	0.9971	0.9952	0.6969	1.66E-05	2.974	9506.354	1.66E-05	0.6969
