burnIn   <= 43567000,   maxState  = 435670000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Asia.Central_Asia	0.9433	0.9562	0.6501	1.3965E-4	2.8678	4353.3482	2.3336E-4	0.6501	
Geography.rates.Eastern_Asia.Western_Asia	0.9421	0.959	0.6433	2.1143E-4	2.8661	3889.2919	2.1143E-4	0.6433	
Geography.rates.Eastern_Asia.Southern_Asia	0.9291	0.9625	0.6249	2.715E-7	2.8536	3394.7774	2.715E-7	0.6249	
Geography.rates.Eastern_Asia.South_Eastern_Asia	0.9713	0.986	0.6646	3.6167E-4	2.9369	3654.4011	1.0757E-3	0.6649	
Geography.rates.Eastern_Asia.Southern_Europe	0.9741	0.9744	0.6768	1.2334E-4	2.9015	4237.2647	3.3027E-3	0.6796	
Geography.rates.Eastern_Asia.Western_Europe	0.9684	0.9803	0.6647	5.1667E-6	2.9158	4150.6636	5.1667E-6	0.6647	
Geography.rates.Eastern_Asia.Eastern_Europe	0.9647	0.9566	0.6721	5.1677E-5	2.8783	3959.069	5.1677E-5	0.6721	
Geography.rates.Eastern_Asia.Northern_Africa	0.9584	0.9608	0.6633	3.8863E-5	2.877	4014.0122	3.8863E-5	0.6633	
Geography.rates.Eastern_Asia.Eastern_Africa	0.9701	0.9871	0.662	1.7011E-7	2.9469	4045.7206	1.7011E-7	0.662	
Geography.rates.Eastern_Asia.Western_Africa	0.9697	0.9821	0.6677	3.4237E-4	2.9068	3824.5834	3.4237E-4	0.6677	
Geography.rates.Eastern_Asia.Southern_Africa	0.9753	0.9845	0.6754	1.6543E-4	2.9174	4402.5608	2.0075E-4	0.6754	
Geography.rates.Eastern_Asia.Micronesia	0.945	0.9645	0.6435	4.5071E-4	2.8579	3886.9388	9.6945E-4	0.6439	
Geography.rates.Eastern_Asia.Melanesia	0.9539	0.9689	0.6569	3.6275E-4	2.8937	3516.3667	4.0453E-4	0.6569	
Geography.rates.Central_Asia.Western_Asia	0.9592	0.9496	0.6677	9.2968E-5	2.8597	4022.7587	3.8671E-4	0.6679	
Geography.rates.Central_Asia.Southern_Asia	0.7405	0.6639	0.5632	8.7697E-4	1.9921	4989.4425	0.0855	0.6234	
Geography.rates.Central_Asia.South_Eastern_Asia	1.0193	0.9856	0.7344	3.5129E-4	2.9854	4354.4272	7.5567E-4	0.7347	
Geography.rates.Central_Asia.Southern_Europe	0.984	0.9885	0.6813	1.4794E-5	2.9326	4061.7954	1.4794E-5	0.6813	
Geography.rates.Central_Asia.Western_Europe	0.99	0.9879	0.6835	3.5331E-5	2.9486	4179.8944	3.5331E-5	0.6835	
Geography.rates.Central_Asia.Eastern_Europe	0.9834	0.9732	0.6915	2.0967E-4	2.9265	4189.8686	4.526E-4	0.6917	
Geography.rates.Central_Asia.Northern_Africa	0.973	0.97	0.6787	4.9156E-4	2.8947	4090.909	1.296E-3	0.6794	
Geography.rates.Central_Asia.Eastern_Africa	1.001	0.9752	0.7046	1.8013E-4	2.9501	4145.5077	1.8013E-4	0.7046	
Geography.rates.Central_Asia.Western_Africa	0.9662	0.9575	0.6723	4.4437E-5	2.8978	3844.2384	6.9522E-5	0.6724	
Geography.rates.Central_Asia.Southern_Africa	1.0049	1.0008	0.6968	2.0262E-4	3.0138	4350.5335	2.9123E-4	0.6968	
Geography.rates.Central_Asia.Micronesia	0.9749	0.9851	0.6686	3.2143E-5	2.9318	4127.8027	3.2143E-5	0.6686	
Geography.rates.Central_Asia.Melanesia	0.9442	0.9655	0.6435	1.419E-4	2.8711	4098.6715	1.8698E-4	0.6436	
Geography.rates.Western_Asia.Southern_Asia	0.9577	0.9853	0.6433	3.0104E-5	2.9438	3861.9038	3.0104E-5	0.6433	
Geography.rates.Western_Asia.South_Eastern_Asia	0.9587	0.9702	0.6616	4.1722E-5	2.897	3613.7028	4.1722E-5	0.6616	
Geography.rates.Western_Asia.Southern_Europe	0.9811	0.9949	0.6733	3.5882E-4	2.9846	4059.6796	3.5882E-4	0.6733	
Geography.rates.Western_Asia.Western_Europe	0.9386	0.9728	0.629	6.7429E-5	2.8737	4100.9447	6.7429E-5	0.629	
Geography.rates.Western_Asia.Eastern_Europe	0.9619	0.9785	0.6541	6.3587E-5	2.934	3850.5079	6.3587E-5	0.6541	
Geography.rates.Western_Asia.Northern_Africa	0.9446	0.9527	0.6536	3.4604E-4	2.8407	4345.1975	2.1417E-3	0.6551	
Geography.rates.Western_Asia.Eastern_Africa	0.9727	0.9725	0.678	6.6663E-5	2.9118	3707.6865	6.6663E-5	0.678	
Geography.rates.Western_Asia.Western_Africa	0.9537	0.966	0.6551	3.0408E-4	2.8409	3688.5255	4.9935E-4	0.6551	
Geography.rates.Western_Asia.Southern_Africa	0.9556	0.9663	0.6577	5.4652E-5	2.8564	3886.7828	1.334E-4	0.6577	
Geography.rates.Western_Asia.Micronesia	0.9697	0.9772	0.6663	2.0559E-4	2.9249	3886.6921	5.8553E-4	0.6666	
Geography.rates.Western_Asia.Melanesia	0.9601	0.9744	0.6588	5.9548E-5	2.9044	3885.7185	5.9548E-5	0.6588	
Geography.rates.Southern_Asia.South_Eastern_Asia	0.7601	0.6945	0.5674	1.0993E-3	2.0719	4394.3193	0.0895	0.6336	
Geography.rates.Southern_Asia.Southern_Europe	0.9664	0.9338	0.6995	5.8887E-4	2.809	3873.0346	2.6898E-3	0.7006	
Geography.rates.Southern_Asia.Western_Europe	0.9675	0.9852	0.6576	2.7773E-4	2.9214	4208.6252	1.0562E-3	0.6581	
Geography.rates.Southern_Asia.Eastern_Europe	0.9932	0.9998	0.6826	1.1068E-4	3.0029	3846.0515	1.1068E-4	0.6826	
Geography.rates.Southern_Asia.Northern_Africa	0.9736	1.0087	0.6486	2.7468E-4	3.0133	3979.982	3.8065E-4	0.6488	
Geography.rates.Southern_Asia.Eastern_Africa	2.5486	1.1758	2.3393	0.6457	4.889	11734.1218	1.3431	2.709	
Geography.rates.Southern_Asia.Western_Africa	0.9937	0.9982	0.6852	5.6155E-5	2.979	3909.3557	5.6155E-5	0.6852	
Geography.rates.Southern_Asia.Southern_Africa	0.9673	0.9907	0.6583	1.1294E-5	2.933	3966.0658	1.1294E-5	0.6583	
Geography.rates.Southern_Asia.Micronesia	0.9479	0.9757	0.646	1.2513E-5	2.8973	3519.6892	1.2513E-5	0.646	
Geography.rates.Southern_Asia.Melanesia	0.9656	0.9947	0.651	2.8603E-5	2.9532	3586.1391	2.8603E-5	0.651	
