burnIn   <= 43567000,   maxState  = 435670000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.South_Eastern_Asia.Southern_Europe	0.9976	0.981	0.6956	3.7562E-4	2.957	4012.6628	1.9039E-3	0.6971	
Geography.rates.South_Eastern_Asia.Western_Europe	0.9803	0.9919	0.674	1.9796E-4	2.959	3520.1018	1.9796E-4	0.674	
Geography.rates.South_Eastern_Asia.Eastern_Europe	0.9641	0.974	0.6555	3.8966E-5	2.9457	3508.2618	3.8966E-5	0.6555	
Geography.rates.South_Eastern_Asia.Northern_Africa	0.9735	0.992	0.6703	1.255E-4	2.9286	3628.2043	1.255E-4	0.6703	
Geography.rates.South_Eastern_Asia.Eastern_Africa	0.9872	0.9571	0.703	8.1166E-5	2.8797	4237.4298	4.8477E-4	0.7033	
Geography.rates.South_Eastern_Asia.Western_Africa	0.9502	0.958	0.6557	2.961E-6	2.8713	3820.5299	2.961E-6	0.6557	
Geography.rates.South_Eastern_Asia.Southern_Africa	0.995	0.9907	0.6955	3.1735E-4	2.9823	4066.0821	6.1089E-4	0.6957	
Geography.rates.South_Eastern_Asia.Micronesia	0.9294	0.965	0.6209	6.7809E-5	2.8545	3329.9728	6.7809E-5	0.6209	
Geography.rates.South_Eastern_Asia.Melanesia	0.9581	0.97	0.6561	1.6104E-4	2.9023	4006.8285	2.3093E-4	0.6561	
Geography.rates.Southern_Europe.Western_Europe	0.9733	0.968	0.6745	1.9529E-4	2.8938	3918.7064	7.42E-4	0.6748	
Geography.rates.Southern_Europe.Eastern_Europe	1.0148	1.0043	0.7106	1.2316E-4	3.0145	4148.1518	2.0728E-4	0.7106	
Geography.rates.Southern_Europe.Northern_Africa	0.9573	0.964	0.6578	9.76E-5	2.8691	4077.6056	1.4321E-4	0.6578	
Geography.rates.Southern_Europe.Eastern_Africa	1.5466	1.0474	1.3343	5.7981E-4	3.5611	5642.8688	0.4774	1.6414	
Geography.rates.Southern_Europe.Western_Africa	0.9621	0.963	0.665	1.9639E-4	2.8971	4061.8229	1.9639E-4	0.665	
Geography.rates.Southern_Europe.Southern_Africa	0.9665	0.9723	0.6639	1.8312E-4	2.9363	4399.9092	4.4336E-4	0.6641	
Geography.rates.Southern_Europe.Micronesia	0.9756	0.9794	0.6702	9.052E-5	2.9378	4150.6548	4.9557E-4	0.6705	
Geography.rates.Southern_Europe.Melanesia	0.9572	0.9541	0.6587	1.703E-4	2.8638	3872.0199	1.703E-4	0.6587	
Geography.rates.Western_Europe.Eastern_Europe	0.9515	0.9808	0.6476	8.1416E-5	2.8964	3724.6244	1.0601E-4	0.6476	
Geography.rates.Western_Europe.Northern_Africa	0.9444	0.9683	0.647	3.4365E-4	2.8918	3915.5994	3.4365E-4	0.647	
Geography.rates.Western_Europe.Eastern_Africa	0.9761	0.9802	0.6685	5.6551E-5	2.952	3751.7726	1.0516E-4	0.6686	
Geography.rates.Western_Europe.Western_Africa	0.9418	0.9441	0.6517	6.1921E-4	2.8475	4219.1796	7.0575E-4	0.6518	
Geography.rates.Western_Europe.Southern_Africa	0.9606	0.9629	0.6664	5.9819E-5	2.8807	4249.1875	5.9819E-5	0.6664	
Geography.rates.Western_Europe.Micronesia	0.9673	0.971	0.6654	6.6625E-4	2.8933	3670.5244	2.5514E-3	0.6665	
Geography.rates.Western_Europe.Melanesia	0.9747	0.9746	0.6808	9.2902E-5	2.9458	4077.1425	2.6393E-4	0.681	
Geography.rates.Eastern_Europe.Northern_Africa	0.9651	0.9891	0.6588	5.0748E-6	2.9576	3660.6176	5.0748E-6	0.6588	
Geography.rates.Eastern_Europe.Eastern_Africa	1.1059	0.8461	0.9001	2.4003E-3	2.7534	7025.2324	0.1805	1.004	
Geography.rates.Eastern_Europe.Western_Africa	0.9561	0.973	0.6497	9.329E-5	2.8974	3567.8737	9.329E-5	0.6497	
Geography.rates.Eastern_Europe.Southern_Africa	1.0008	1.0039	0.6908	3.0008E-4	3.0157	3214.2068	3.0008E-4	0.6908	
Geography.rates.Eastern_Europe.Micronesia	0.9603	0.9802	0.6545	1.9653E-5	2.9329	3947.8608	1.9653E-5	0.6545	
Geography.rates.Eastern_Europe.Melanesia	0.9679	0.9869	0.662	1.6944E-4	2.9257	4076.776	4.4387E-4	0.6621	
Geography.rates.Northern_Africa.Eastern_Africa	0.9629	0.9647	0.6601	4.5695E-4	2.8998	4167.3391	6.1943E-4	0.6602	
Geography.rates.Northern_Africa.Western_Africa	0.9611	0.963	0.6651	1.7546E-4	2.8837	4205.4644	1.7546E-4	0.6651	
Geography.rates.Northern_Africa.Southern_Africa	0.9452	0.9519	0.657	4.5632E-4	2.8452	4115.6735	7.8428E-4	0.6571	
Geography.rates.Northern_Africa.Micronesia	0.9487	0.9565	0.6505	3.0483E-4	2.861	3608.3519	5.6152E-4	0.6505	
Geography.rates.Northern_Africa.Melanesia	0.956	0.9797	0.6506	5.3115E-5	2.9196	3305.443	5.3115E-5	0.6506	
Geography.rates.Eastern_Africa.Western_Africa	0.9517	0.9614	0.6565	1.0654E-4	2.8566	3807.9158	3.5796E-4	0.6566	
Geography.rates.Eastern_Africa.Southern_Africa	1.6963	1.037	1.4811	0.1268	3.7358	9465.7893	0.5705	1.6996	
Geography.rates.Eastern_Africa.Micronesia	0.9602	0.9814	0.6612	2.0332E-4	2.8934	4152.9622	2.0332E-4	0.6612	
Geography.rates.Eastern_Africa.Melanesia	0.963	0.9699	0.6642	3.3892E-4	2.8895	3545.0342	4.0634E-4	0.6642	
Geography.rates.Western_Africa.Southern_Africa	0.9365	0.9574	0.6433	4.3027E-4	2.8337	3906.6261	8.1066E-4	0.6436	
Geography.rates.Western_Africa.Micronesia	0.9574	0.9688	0.6527	5.7991E-6	2.8992	3726.8672	5.7991E-6	0.6527	
Geography.rates.Western_Africa.Melanesia	0.9544	0.98	0.6534	2.7973E-4	2.894	3859.5248	6.8042E-4	0.6534	
Geography.rates.Southern_Africa.Micronesia	0.9697	0.9747	0.6674	2.3378E-4	2.9101	4186.3068	3.8097E-3	0.6697	
Geography.rates.Southern_Africa.Melanesia	0.957	0.9786	0.6493	1.7915E-6	2.8953	3908.366	1.7915E-6	0.6493	
Geography.rates.Micronesia.Melanesia	0.9578	0.9783	0.6506	5.3882E-5	2.8936	3695.5093	5.3882E-5	0.6506	
Geography.indicators.Eastern_Asia.Central_Asia	0.1116	0.3149	0	0	1	4140.1969	0	0	
Geography.indicators.Eastern_Asia.Western_Asia	0.1587	0.3654	0	0	1	2864.5707	0	0	
Geography.indicators.Eastern_Asia.Southern_Asia	0.0587	0.235	0	0	1	3436.9355	0	0	
Geography.indicators.Eastern_Asia.South_Eastern_Asia	0.1134	0.3171	0	0	1	4067.4755	0	0	
Geography.indicators.Eastern_Asia.Southern_Europe	0.1082	0.3106	0	0	1	3999.2907	0	0	
Geography.indicators.Eastern_Asia.Western_Europe	0.1538	0.3607	0	0	1	3391.65	0	0	
Geography.indicators.Eastern_Asia.Eastern_Europe	0.1026	0.3034	0	0	1	4035.8952	0	0	
Geography.indicators.Eastern_Asia.Northern_Africa	0.15	0.357	0	0	1	2962.6834	0	0	
Geography.indicators.Eastern_Asia.Eastern_Africa	0.0835	0.2766	0	0	1	4303.8986	0	0	
Geography.indicators.Eastern_Asia.Western_Africa	0.1648	0.371	0	0	1	2734.7699	0	0	
Geography.indicators.Eastern_Asia.Southern_Africa	0.0997	0.2997	0	0	1	4466.5745	0	0	
Geography.indicators.Eastern_Asia.Micronesia	0.1666	0.3726	0	0	1	2854.6637	0	0	
Geography.indicators.Eastern_Asia.Melanesia	0.1591	0.3658	0	0	1	2721.1936	0	0	
Geography.indicators.Central_Asia.Western_Asia	0.1123	0.3158	0	0	1	4578.4812	0	0	
Geography.indicators.Central_Asia.Southern_Asia	0.7856	0.4104	1	0	1	2855.0514	1	1	
Geography.indicators.Central_Asia.South_Eastern_Asia	0.1466	0.3537	0	0	1	4140.6817	0	0	
Geography.indicators.Central_Asia.Southern_Europe	0.0741	0.2619	0	0	1	7986.344	0	0	
Geography.indicators.Central_Asia.Western_Europe	0.1077	0.31	0	0	1	4194.9653	0	0	
Geography.indicators.Central_Asia.Eastern_Europe	0.0492	0.2163	0	0	0	13234.4759	0	0	
Geography.indicators.Central_Asia.Northern_Africa	0.1016	0.3021	0	0	1	4796.5697	0	0	
Geography.indicators.Central_Asia.Eastern_Africa	0.1536	0.3605	0	0	1	2703.8382	0	0	
Geography.indicators.Central_Asia.Western_Africa	0.0997	0.2997	0	0	1	4670.7089	0	0	
Geography.indicators.Central_Asia.Southern_Africa	0.0502	0.2183	0	0	1	13180.4042	0	0	
Geography.indicators.Central_Asia.Micronesia	0.1034	0.3045	0	0	1	4258.3555	0	0	
Geography.indicators.Central_Asia.Melanesia	0.116	0.3202	0	0	1	4427.4502	0	0	
Geography.indicators.Western_Asia.Southern_Asia	0.0538	0.2256	0	0	1	4038.8994	0	0	
Geography.indicators.Western_Asia.South_Eastern_Asia	0.1125	0.316	0	0	1	4040.3291	0	0	
Geography.indicators.Western_Asia.Southern_Europe	0.1072	0.3094	0	0	1	4555.175	0	0	
Geography.indicators.Western_Asia.Western_Europe	0.1645	0.3707	0	0	1	2889.6589	0	0	
Geography.indicators.Western_Asia.Eastern_Europe	0.1063	0.3083	0	0	1	4452.3389	0	0	
Geography.indicators.Western_Asia.Northern_Africa	0.1558	0.3627	0	0	1	3015.9815	0	0	
Geography.indicators.Western_Asia.Eastern_Africa	0.0744	0.2624	0	0	1	4650.2509	0	0	
Geography.indicators.Western_Asia.Western_Africa	0.1593	0.366	0	0	1	3257.7169	0	0	
Geography.indicators.Western_Asia.Southern_Africa	0.1077	0.31	0	0	1	4763.2226	0	0	
Geography.indicators.Western_Asia.Micronesia	0.1599	0.3665	0	0	1	3111.5783	0	0	
Geography.indicators.Western_Asia.Melanesia	0.1554	0.3623	0	0	1	2804.6904	0	0	
Geography.indicators.Southern_Asia.South_Eastern_Asia	0.7313	0.4433	1	0	1	2734.0461	1	1	
Geography.indicators.Southern_Asia.Southern_Europe	0.2513	0.4338	0	0	1	3888.0246	0	0	
Geography.indicators.Southern_Asia.Western_Europe	0.0481	0.214	0	0	0	4291.6429	0	0	
Geography.indicators.Southern_Asia.Eastern_Europe	0.0262	0.1599	0	0	0	9706.1358	0	0	
Geography.indicators.Southern_Asia.Northern_Africa	0.0479	0.2135	0	0	0	3939.7503	0	0	
Geography.indicators.Southern_Asia.Eastern_Africa	1	0	0	0	0	10000	0	0	
Geography.indicators.Southern_Asia.Western_Africa	0.043	0.203	0	0	0	3658.0765	0	0	
Geography.indicators.Southern_Asia.Southern_Africa	0.0202	0.1409	0	0	0	13500.3752	0	0	
Geography.indicators.Southern_Asia.Micronesia	0.0515	0.2209	0	0	1	3745.2058	0	0	
Geography.indicators.Southern_Asia.Melanesia	0.0475	0.2126	0	0	0	4213.0856	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Europe	0.0821	0.2745	0	0	1	5728.3605	0	0	
Geography.indicators.South_Eastern_Asia.Western_Europe	0.1103	0.3133	0	0	1	4141.7114	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Europe	0.0537	0.2253	0	0	1	10882.7836	0	0	
Geography.indicators.South_Eastern_Asia.Northern_Africa	0.1049	0.3064	0	0	1	4092.9497	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Africa	0.1671	0.373	0	0	1	2858.7578	0	0	
Geography.indicators.South_Eastern_Asia.Western_Africa	0.1074	0.3096	0	0	1	4093.2088	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Africa	0.0565	0.2309	0	0	1	10819.2796	0	0	
Geography.indicators.South_Eastern_Asia.Micronesia	0.1149	0.3189	0	0	1	3989.0686	0	0	
Geography.indicators.South_Eastern_Asia.Melanesia	0.1062	0.3081	0	0	1	4526.4293	0	0	
Geography.indicators.Southern_Europe.Western_Europe	0.1008	0.3011	0	0	1	4431.8382	0	0	
Geography.indicators.Southern_Europe.Eastern_Europe	0.0676	0.2511	0	0	1	8060.2115	0	0	
Geography.indicators.Southern_Europe.Northern_Africa	0.1046	0.3061	0	0	1	4480.2091	0	0	
Geography.indicators.Southern_Europe.Eastern_Africa	0.8659	0.3408	1	0	1	4029.6904	1	1	
Geography.indicators.Southern_Europe.Western_Africa	0.1069	0.309	0	0	1	4245.611	0	0	
Geography.indicators.Southern_Europe.Southern_Africa	0.0452	0.2077	0	0	0	14144.5968	0	0	
Geography.indicators.Southern_Europe.Micronesia	0.1108	0.3139	0	0	1	4370.78	0	0	
Geography.indicators.Southern_Europe.Melanesia	0.1025	0.3034	0	0	1	3774.1591	0	0	
Geography.indicators.Western_Europe.Eastern_Europe	0.1051	0.3067	0	0	1	4275.684	0	0	
Geography.indicators.Western_Europe.Northern_Africa	0.1633	0.3697	0	0	1	3293.7661	0	0	
Geography.indicators.Western_Europe.Eastern_Africa	0.0899	0.286	0	0	1	3779.0403	0	0	
Geography.indicators.Western_Europe.Western_Africa	0.1537	0.3607	0	0	1	3398.5972	0	0	
Geography.indicators.Western_Europe.Southern_Africa	0.1182	0.3228	0	0	1	3754.0943	0	0	
Geography.indicators.Western_Europe.Micronesia	0.1438	0.3509	0	0	1	3433.1645	0	0	
Geography.indicators.Western_Europe.Melanesia	0.1498	0.3569	0	0	1	3406.5822	0	0	
Geography.indicators.Eastern_Europe.Northern_Africa	0.123	0.3284	0	0	1	3970.3803	0	0	
Geography.indicators.Eastern_Europe.Eastern_Africa	0.9355	0.2456	1	0	1	5173.5125	1	1	
Geography.indicators.Eastern_Europe.Western_Africa	0.11	0.3129	0	0	1	3940.0781	0	0	
Geography.indicators.Eastern_Europe.Southern_Africa	0.0758	0.2648	0	0	1	6578.8733	0	0	
Geography.indicators.Eastern_Europe.Micronesia	0.1069	0.309	0	0	1	3881.2068	0	0	
Geography.indicators.Eastern_Europe.Melanesia	0.1138	0.3176	0	0	1	4511.2588	0	0	
Geography.indicators.Northern_Africa.Eastern_Africa	0.0795	0.2706	0	0	1	4178.2669	0	0	
Geography.indicators.Northern_Africa.Western_Africa	0.1561	0.3629	0	0	1	2983.3247	0	0	
Geography.indicators.Northern_Africa.Southern_Africa	0.1132	0.3169	0	0	1	4290.0125	0	0	
Geography.indicators.Northern_Africa.Micronesia	0.1568	0.3636	0	0	1	2442.1398	0	0	
Geography.indicators.Northern_Africa.Melanesia	0.1585	0.3652	0	0	1	3269.1705	0	0	
Geography.indicators.Eastern_Africa.Western_Africa	0.0855	0.2796	0	0	1	4438.223	0	0	
Geography.indicators.Eastern_Africa.Southern_Africa	0.9993	0.0267	1	1	1	13088.6848	1	1	
Geography.indicators.Eastern_Africa.Micronesia	0.0766	0.2659	0	0	1	4308.2642	0	0	
Geography.indicators.Eastern_Africa.Melanesia	0.0961	0.2948	0	0	1	3723.6134	0	0	
Geography.indicators.Western_Africa.Southern_Africa	0.1215	0.3267	0	0	1	4074.0862	0	0	
Geography.indicators.Western_Africa.Micronesia	0.1564	0.3632	0	0	1	2999.5254	0	0	
Geography.indicators.Western_Africa.Melanesia	0.1588	0.3655	0	0	1	3004.5553	0	0	
Geography.indicators.Southern_Africa.Micronesia	0.1151	0.3191	0	0	1	4071.7576	0	0	
Geography.indicators.Southern_Africa.Melanesia	0.1033	0.3044	0	0	1	4072.5814	0	0	
Geography.indicators.Micronesia.Melanesia	0.1555	0.3624	0	0	1	3144.8051	0	0	
Geography.nonZeroRates	14.683	1.0613	15	13	17	26397.1034	14	15	

